Dataset,Gene,Category,Eigenvalue_Modulus,R2,Confidence,ADF_Stationary,ADF_Test_Statistic
GSE54650_White_Fat_circadian,Mcm6,Target,0.5543,0.1544,Low,False,-1.7006
GSE54650_White_Fat_circadian,Sirt1,Target,0.3556,0.0267,Low,True,-4.2812
GSE54650_White_Fat_circadian,Cdk1,Target,0.2449,0.0057,Low,False,-2.1083
GSE54650_White_Fat_circadian,Lgr5,Target,0.3890,0.0211,Low,False,-2.3892
GSE54650_White_Fat_circadian,Mdm2,Target,0.3292,0.0195,Low,False,-2.4332
GSE54650_White_Fat_circadian,Trp53,Target,0.1694,0.0791,Low,True,-3.7718
GSE54650_White_Fat_circadian,Axin2,Target,0.2157,0.0452,Low,False,-1.9606
GSE54650_White_Fat_circadian,Hif1a,Target,0.6316,0.4434,Moderate,False,-2.1515
GSE54650_White_Fat_circadian,Ccnb1,Target,0.4548,0.3472,Moderate,False,-2.7454
GSE54650_White_Fat_circadian,Myc,Target,0.5201,0.0723,Low,False,-2.6560
GSE54650_White_Fat_circadian,Apc,Target,0.2960,0.0084,Low,True,-3.3007
GSE54650_White_Fat_circadian,Ccne2,Target,0.2627,0.0692,Moderate,True,-3.0963
GSE54650_White_Fat_circadian,Chek2,Target,0.5779,0.2362,Moderate,False,-2.8739
GSE54650_White_Fat_circadian,Pparg,Target,0.1726,0.0010,Low,False,-2.1130
GSE54650_White_Fat_circadian,Wee1,Target,0.7318,0.7578,Moderate,True,-3.1979
GSE54650_White_Fat_circadian,Ccne1,Target,0.3736,0.1536,Low,False,-2.7746
GSE54650_White_Fat_circadian,Bax,Target,0.5297,0.1020,Moderate,True,-3.4837
GSE54650_White_Fat_circadian,Mki67,Target,0.3557,0.0305,Low,False,-2.2861
GSE54650_White_Fat_circadian,Ccnd1,Target,0.4643,0.0768,Low,True,-3.3644
GSE54650_White_Fat_circadian,Ctnnb1,Target,0.4100,0.0372,Low,False,-2.6169
GSE54650_White_Fat_circadian,Atm,Target,0.5505,0.0822,Moderate,True,-3.1995
GSE48113_Human_Blood_Circadian,ARNTL,Clock,0.3307,0.0180,Moderate,True,-4.3733
GSE48113_Human_Blood_Circadian,CLOCK,Clock,0.1357,0.0142,Moderate,True,-6.2186
GSE48113_Human_Blood_Circadian,CRY1,Clock,0.3810,0.0556,Moderate,True,-5.8626
GSE48113_Human_Blood_Circadian,CRY2,Clock,0.1274,0.0039,Moderate,True,-6.0703
GSE48113_Human_Blood_Circadian,DBP,Clock,0.5584,0.1539,High,True,-5.0672
GSE48113_Human_Blood_Circadian,NPAS2,Clock,0.3081,0.0179,Moderate,True,-5.8438
GSE48113_Human_Blood_Circadian,NR1D1,Clock,0.5025,0.0557,Moderate,True,-5.2288
GSE48113_Human_Blood_Circadian,NR1D2,Clock,0.5285,0.1381,High,True,-3.8093
GSE48113_Human_Blood_Circadian,PER1,Clock,0.4261,0.0567,Moderate,True,-3.3776
GSE48113_Human_Blood_Circadian,PER2,Clock,0.3672,0.0332,Moderate,True,-5.1599
GSE48113_Human_Blood_Circadian,PER3,Clock,0.3758,0.0194,Moderate,True,-4.2929
GSE48113_Human_Blood_Circadian,RORC,Clock,0.1874,0.0029,Moderate,True,-6.2462
GSE48113_Human_Blood_Circadian,TEF,Clock,0.3288,0.0559,Moderate,True,-4.1421
GSE48113_Human_Blood_Circadian,APC,Target,0.2402,0.0034,Moderate,True,-5.2118
GSE48113_Human_Blood_Circadian,ATM,Target,0.2271,0.0319,Moderate,True,-6.1709
GSE48113_Human_Blood_Circadian,AXIN2,Target,0.1771,0.0591,Moderate,True,-4.6945
GSE48113_Human_Blood_Circadian,BAX,Target,0.3654,0.0177,Moderate,True,-7.9602
GSE48113_Human_Blood_Circadian,BCL2,Target,0.4856,0.1370,High,True,-5.0455
GSE48113_Human_Blood_Circadian,CCNB1,Target,0.1775,0.1176,High,True,-5.7047
GSE48113_Human_Blood_Circadian,CCND1,Target,0.1992,0.0313,Moderate,True,-5.4275
GSE48113_Human_Blood_Circadian,CCNE1,Target,0.2290,0.0435,Moderate,True,-5.5724
GSE48113_Human_Blood_Circadian,CCNE2,Target,0.3050,0.0159,Moderate,False,-2.7709
GSE48113_Human_Blood_Circadian,CDK1,Target,0.4187,0.0586,Moderate,True,-5.8180
GSE48113_Human_Blood_Circadian,CDKN1A,Target,0.0767,0.0018,Moderate,True,-6.4521
GSE48113_Human_Blood_Circadian,CHEK2,Target,0.2223,0.0055,Moderate,True,-7.1518
GSE48113_Human_Blood_Circadian,CTNNB1,Target,0.1944,0.0015,Moderate,True,-6.2390
GSE48113_Human_Blood_Circadian,HIF1A,Target,0.4268,0.0357,Moderate,True,-4.9145
GSE48113_Human_Blood_Circadian,MCM6,Target,0.4564,0.0793,Moderate,True,-4.7177
GSE48113_Human_Blood_Circadian,MDM2,Target,0.3997,0.0786,Moderate,True,-4.5017
GSE48113_Human_Blood_Circadian,MKI67,Target,0.2866,0.0092,Moderate,True,-6.2028
GSE48113_Human_Blood_Circadian,MYC,Target,0.1194,0.0009,Moderate,True,-5.7034
GSE48113_Human_Blood_Circadian,PPARG,Target,0.2912,0.0113,Moderate,True,-6.0302
GSE48113_Human_Blood_Circadian,SIRT1,Target,0.1258,0.0482,Moderate,True,-5.9326
GSE48113_Human_Blood_Circadian,TP53,Target,0.1395,0.0033,Moderate,True,-6.0104
GSE48113_Human_Blood_Circadian,WEE1,Target,0.3693,0.0708,Moderate,True,-4.8116
