Gene,Category,AR2_Eigenvalue,AR2_R2,AR2_RootType,Cosinor_Amplitude,Cosinor_Phase,Cosinor_qValue,Cosinor_R2,Cosinor_Rhythmic,JTK_Tau,JTK_qValue,JTK_Period,JTK_Rhythmic,Agreement
Cdk7,Other,0.2968,0.0834,Complex,12.5407,21.75,0.3806,0.1284,False,0.2742,1,28,False,"All agree: none"
Mrps36,Other,0.551,0.0721,Real,12.1024,5.55,0.0257,0.3919,True,-0.4291,0.4435,24,False,"Partial"
Cenph,Other,0.4364,0.0518,Complex,0.4035,21.61,0.339,0.1442,False,0.2459,1,24,False,"All agree: none"
Ccnb1,Target,0.404,0.0407,Real,9.1144,15.09,0.3207,0.1518,False,0.2764,1,24,False,"All agree: none"
Slc30a5,Other,0.3651,0.0633,Complex,33.7436,10.18,0.7567,0.0383,False,0.1825,1,20,False,"All agree: none"
Pik3r1,Other,0.7307,0.4062,Real,366.8284,10.5,0,0.8111,True,-0.7127,0.0027,24,True,"All agree"
Mast4,Other,0.6094,0.1265,Real,9.0983,1.97,0.0196,0.4114,True,0.4936,0.1592,20,False,"Partial"
Srek1,Other,0.7962,0.3632,Real,17.2187,17.04,0.4245,0.1141,False,0.2377,1,28,False,"AR(2) unique"
Erbb2ip,Other,0.6442,0.2528,Real,200.5647,16.13,0.0004,0.6386,True,0.5891,0.0257,24,True,"All agree"
Nln,Other,0.5532,0.1083,Real,8.1063,12.14,0.8484,0.0226,False,-0.1455,1,20,False,"AR(2) unique"
Trappc13,Other,0.661,0.1583,Real,30.5913,3.57,0.3051,0.1584,False,-0.3376,1,28,False,"AR(2) unique"
Ppwd1,Other,0.7482,0.2349,Real,50.315,23.59,0.0059,0.4921,True,0.5091,0.114,24,False,"Partial"
Cwc27,Other,0.8543,0.479,Real,13.5786,22.28,0.0623,0.3225,False,0.3564,1,24,False,"AR(2) unique"
Fam159b,Other,0.6351,0.1429,Real,2.3246,15.52,0.2677,0.1758,False,-0.3254,1,20,False,"AR(2) unique"
Rgs7bp,Other,0.274,0.0296,Complex,2.7294,10.71,0.4612,0.1034,False,-0.2279,1,20,False,"All agree: none"
Rnf180,Other,0.6418,0.1513,Real,4.8668,12.06,0.0657,0.3181,False,0.3097,1,24,False,"AR(2) unique"
Ipo11,Other,0.7055,0.2417,Real,59.1306,23.13,0.0016,0.5687,True,0.5236,0.0869,24,False,"Partial"
Kif2a,Other,0.5317,0.0739,Real,20.0423,22.37,0.3049,0.1586,False,0.2109,1,24,False,"AR(2) unique"
Zswim6,Other,0.4012,0.039,Real,12.8729,21.63,0.2972,0.162,False,-0.3376,1,28,False,"All agree: none"
Ndufaf2,Other,0.6162,0.1186,Real,14.3784,2.6,0.0072,0.4793,True,-0.4599,0.2761,24,False,"Partial"
Gm27572,Other,0.3281,0.0411,Complex,0.8554,10.01,0.8706,0.0191,False,-0.1832,1,28,False,"All agree: none"
Rab3c,Other,0.5049,0.0563,Real,0.3496,8.19,0.8232,0.0268,False,-0.324,1,28,False,"AR(2) unique"
Gemin8,Other,0.4388,0.0576,Complex,1.1486,17.01,0.448,0.1073,False,-0.3883,0.8575,20,False,"All agree: none"
Gapt,Other,0.5029,0.1262,Real,1.714,13.36,0.7384,0.0416,False,-0.1679,1,28,False,"AR(2) unique"
Gpbp1,Other,0.5959,0.0976,Real,53.7044,22.57,0.118,0.2639,False,0.3418,1,24,False,"AR(2) unique"
Map3k1,Other,0.7129,0.3425,Real,64.5433,1.62,0,0.7309,True,0.657,0.0074,24,True,"All agree"
