Gene,Category,AR2_Eigenvalue,AR2_R2,AR2_RootType,Cosinor_Amplitude,Cosinor_Phase,Cosinor_qValue,Cosinor_R2,Cosinor_Rhythmic,JTK_Tau,JTK_qValue,JTK_Period,JTK_Rhythmic,Agreement
Gm2889,Other,0.4389,0.047,Real,27.9552,13.89,0.4023,0.1212,False,-0.219,1,28,False,"All agree: none"
Gm10568,Other,0.5682,0.0974,Real,3.4377,13.4,0.0329,0.3737,True,-0.3663,1,20,False,"Partial"
Lypla1,Other,0.6155,0.1109,Real,100.8961,5.81,0.3695,0.1325,False,-0.2505,1,28,False,"AR(2) unique"
Tcea1,Other,0.2818,0.0059,Real,42.3137,13.62,0.2691,0.175,False,-0.292,1,24,False,"All agree: none"
Atp6v1h,Other,0.6277,0.1381,Real,23.9263,20.04,0.5778,0.0739,False,-0.2555,1,20,False,"AR(2) unique"
Oprk1,Other,0.7876,0.3125,Real,2.4006,14.55,0.2159,0.2015,False,-0.2596,1,24,False,"AR(2) unique"
Rb1cc1,Other,0.4183,0.0376,Real,58.3753,16.7,0.0463,0.347,True,-0.365,1,20,False,"Rhythm-only"
Fam150a,Other,0.2566,0.0095,Complex,1.1114,3.97,0.2681,0.1756,False,-0.3413,1,28,False,"All agree: none"
St18,Other,0.3794,0.0201,Real,1.5433,14.15,0.6858,0.0513,False,-0.219,1,28,False,"All agree: none"
Pcmtd1,Other,0.6134,0.1043,Real,139.2964,15.97,0.0128,0.4418,True,-0.4964,0.1482,20,False,"Partial"
Gm30414,Other,0.5229,0.07,Real,0.9556,14.31,0.2795,0.17,False,-0.364,1,20,False,"AR(2) unique"
Rrs1,Other,0.4219,0.028,Real,8.1622,10.99,0.1119,0.269,False,-0.32,1,20,False,"All agree: none"
Adhfe1,Other,0.4445,0.2172,Real,303.6599,0.35,0.0063,0.4877,True,0.5164,0.0993,24,False,"Rhythm-only"
3110035E14Rik,Other,0.4607,0.0697,Complex,0.5751,14.55,0.7677,0.0363,False,-0.1758,1,20,False,"All agree: none"
Sgk3,Other,0.5754,0.0982,Real,43.4819,17.44,0.0423,0.3541,True,0.3418,1,24,False,"Partial"
Mcmdc2,Other,0.4295,0.1595,Real,0.2427,17.57,0.9115,0.0128,False,-0.1022,1,24,False,"All agree: none"
Cspp1,Other,0.5984,0.1549,Real,6.3752,23.39,0.8282,0.026,False,0.2077,1,28,False,"AR(2) unique"
Prex2,Other,0.7288,0.2361,Real,36.9528,9.98,0.0056,0.4962,True,-0.4945,0.1482,24,False,"Partial"
A830018L16Rik,Other,0.6356,0.1382,Real,1.8196,14.38,0.2044,0.2078,False,0.292,1,24,False,"AR(2) unique"
Sulf1,Other,0.2249,0.0043,Complex,0.7505,11.3,0.8301,0.0257,False,-0.223,1,28,False,"All agree: none"
Xkr9,Other,0.5604,0.1264,Real,83.3092,16.2,0.0076,0.476,True,-0.4891,0.1674,20,False,"Partial"
Gm9947,Other,0.3818,0.0198,Real,0.8132,18.89,0.7908,0.0321,False,0.2239,1,28,False,"All agree: none"
Rpl5,Other,0.6818,0.3213,Real,247.9033,12.8,0.0016,0.5687,True,0.6109,0.0171,28,True,"All agree"
Kcnb2,Other,0.7739,0.3065,Real,2.704,14.19,0.2675,0.1759,False,-0.3181,1,20,False,"AR(2) unique"
Terf1,Other,0.4999,0.0559,Real,41.3171,20.44,0.1277,0.2562,False,0.3491,1,24,False,"All agree: none"
Rdh10,Other,0.4042,0.0616,Real,62.0519,4.66,0.0265,0.3897,True,-0.4436,0.351,24,False,"Rhythm-only"
Tmem70,Other,0.322,0.0336,Complex,26.9383,8.43,0.3269,0.1491,False,-0.2993,1,28,False,"All agree: none"
Ly96,Other,0.6407,0.6128,Real,126.8009,1.14,0,0.7726,True,0.6716,0.0057,24,True,"All agree"
Gdap1,Other,0.3254,0.0308,Complex,1.0615,13.45,0.7677,0.0363,False,-0.2077,1,28,False,"All agree: none"
Pi15,Other,0.2994,0.0334,Complex,1.5595,14.25,0.6045,0.0679,False,-0.1439,1,20,False,"All agree: none"
Crispld1,Other,0.7546,0.2795,Real,5.6158,14.3,0.2216,0.1985,False,-0.2732,1,24,False,"AR(2) unique"
Tfap2d,Other,0.7797,0.3137,Real,1.5796,15.7,0.233,0.1928,False,0.3035,1,28,False,"AR(2) unique"
Tfap2b,Other,0.5808,0.1123,Complex,0.919,12.35,0.2189,0.1998,False,-0.2264,1,20,False,"AR(2) unique"
Iars,Other,0.5888,0.2058,Real,130.0783,5.47,0.0004,0.6363,True,-0.6255,0.0127,24,True,"All agree"
Mir206,Other,0.3107,0.0365,Complex,0.2617,0.59,0.3506,0.1393,False,0.2696,1,20,False,"All agree: none"
Il17a,Other,0.1574,0.0251,Complex,0.9505,15.33,0.6495,0.0585,False,0.2004,1,28,False,"All agree: none"
Paqr8,Other,0.391,0.0285,Real,1.73,12.49,0.3151,0.1541,False,-0.2711,1,24,False,"All agree: none"
Efhc1,Other,0.4998,0.0656,Real,1.8247,17.48,0.5583,0.0784,False,0.2295,1,28,False,"All agree: none"
Tmem14a,Other,0.6542,0.3067,Real,27.4773,3.24,0.0001,0.6866,True,0.6715,0.0057,24,True,"All agree"
Gsta3,Other,0.44,0.4174,Real,471.1913,4.24,0,0.8256,True,-0.6909,0.0039,24,True,"Rhythm-only"
Cetn4,Other,0.4038,0.1773,Real,6.1912,14.26,0.6645,0.0555,False,-0.1792,1,20,False,"All agree: none"
Khdc1a,Other,0.2645,0.0054,Complex,0.405,14.69,0.7481,0.0399,False,-0.167,1,28,False,"All agree: none"
Mir30a,Other,0.1307,0.0074,Complex,21.4035,14.25,0.3603,0.1358,False,-0.3242,1,24,False,"All agree: none"
Mir30c-2,Other,0.3011,0.0083,Complex,2.2065,12.9,0.3631,0.1347,False,-0.4205,0.5292,20,False,"All agree: none"
B3gat2,Other,0.475,0.0789,Real,4.3063,13.81,0.0519,0.3379,False,0.4672,0.245,28,False,"All agree: none"
Sdhaf4,Other,0.7675,0.3022,Real,6.8083,3.39,0.601,0.0687,False,0.2214,1,28,False,"AR(2) unique"
Col9a1,Other,0.7766,0.3278,Real,3.6081,14.64,0.5746,0.0746,False,0.1566,1,28,False,"AR(2) unique"
Lmbrd1,Other,0.6309,0.1164,Real,48.1182,18.45,0.1658,0.2299,False,0.3273,1,24,False,"AR(2) unique"
Gm9884,Other,0.555,0.1248,Real,2.0484,13.75,0.2934,0.1639,False,-0.2774,1,20,False,"AR(2) unique"
Cdk10,Other,0.3762,0.0661,Real,6.8249,5.12,0.4356,0.1109,False,0.2774,1,20,False,"All agree: none"
Lgsn,Other,0.692,0.1723,Real,3.2721,13.48,0.1391,0.2476,False,0.4322,0.4435,28,False,"AR(2) unique"
Pih1d3,Other,0.5307,0.0881,Real,1.3786,14.23,0.3685,0.1328,False,-0.2836,1,20,False,"AR(2) unique"
Paox,Other,0.4642,0.2116,Real,83.5463,1.77,0.0522,0.3376,False,-0.4262,0.4721,24,False,"All agree: none"
Khdrbs2,Other,0.482,0.061,Real,1.2861,14.4,0.1098,0.2711,False,-0.366,1,20,False,"All agree: none"
1700001G17Rik,Other,0.4986,0.0802,Complex,1.847,5.13,0.8088,0.0291,False,-0.1898,1,24,False,"All agree: none"
Rab23,Other,0.6338,0.1353,Real,25.9865,3.58,0.059,0.3273,False,-0.4682,0.2335,28,False,"AR(2) unique"
Dst,Other,0.701,0.2459,Real,37.8891,9.27,0.0002,0.6621,True,-0.6084,0.0185,24,True,"All agree"
Imp4,Other,0.5677,0.1481,Real,72.7713,3.55,0.004,0.5169,True,0.5521,0.0544,20,False,"Partial"
D1Ertd448e,Other,0.493,0.4476,Complex,58.1979,4.53,0.0005,0.623,True,-0.5818,0.0296,24,True,"Rhythm-only"
Ptpn18,Other,0.3884,0.0427,Complex,0.6888,22.71,0.8052,0.0297,False,0.1725,1,20,False,"All agree: none"
Prss39,Other,0.4048,0.0274,Complex,1.0377,15.59,0.5819,0.0729,False,-0.2157,1,20,False,"All agree: none"
Cfc1,Other,0.3116,0.0174,Complex,2.5278,12.01,0.3131,0.155,False,-0.3358,1,24,False,"All agree: none"
Amer3,Other,0.3816,0.1423,Complex,0.7395,15.21,0.7351,0.0422,False,-0.1725,1,20,False,"All agree: none"
C230030N03Rik,Other,0.7171,0.1943,Real,4.2421,15.48,0.1528,0.2381,False,0.3303,1,28,False,"AR(2) unique"
Arhgef4,Other,0.3667,0.0181,Real,4.3038,15.2,0.0546,0.3338,False,0.4247,0.4727,28,False,"All agree: none"
Plekhb2,Other,0.6485,0.1521,Real,54.2379,2.93,0.0069,0.4826,True,0.5137,0.1075,24,False,"Partial"
Hs6st1,Other,0.3283,0.1798,Complex,124.4042,13.54,0.0068,0.4833,True,0.4655,0.245,24,False,"Rhythm-only"
Arid5a,Other,0.5426,0.1566,Real,1.853,18.94,0.746,0.0402,False,0.245,1,28,False,"AR(2) unique"
Fer1l5,Other,0.6099,0.1129,Real,0.4597,18.83,0.5508,0.0802,False,-0.1905,1,28,False,"AR(2) unique"
Cnnm4,Other,0.6625,0.1845,Real,15.1561,5.31,0.0004,0.6371,True,-0.5865,0.0281,24,True,"All agree"
Cnnm3,Other,0.6588,0.3903,Real,30.9802,1.68,0.0001,0.713,True,0.6716,0.0057,24,True,"All agree"
Cox5b,Other,0.747,0.3824,Real,213.9359,1.84,0.0001,0.6925,True,0.6643,0.0064,24,True,"All agree"
Zap70,Other,0.3924,0.057,Complex,1.5149,17.68,0.9075,0.0135,False,0.0949,1,20,False,"All agree: none"
Vwa3b,Other,0.7724,0.3013,Real,5.9546,15,0.0487,0.343,True,-0.4117,0.5915,24,False,"Partial"
Cnga3,Other,0.6876,0.1969,Real,1.407,15.5,0.5458,0.0815,False,0.3358,1,28,False,"AR(2) unique"
Inpp4a,Other,0.36,0.0978,Real,21.9023,21.1,0.5431,0.0821,False,0.1964,1,24,False,"All agree: none"
Unc50,Other,0.6003,0.1128,Real,83.9184,18.4,0.0079,0.4737,True,0.4655,0.245,24,False,"Partial"
Lipt1,Other,0.4722,0.0736,Real,19.1083,3.82,0.0046,0.5079,True,0.4918,0.1592,24,False,"Rhythm-only"
Mrpl30,Other,0.3755,0.1272,Complex,64.8123,9.07,0.0551,0.3331,False,-0.5236,0.0869,24,False,"All agree: none"
Eif5b,Other,0.6596,0.1746,Real,15.7364,22.11,0.3813,0.1282,False,0.1971,1,20,False,"AR(2) unique"
Nms,Other,0.5117,0.1826,Real,2.6058,14.03,0.6622,0.056,False,-0.0548,1,20,False,"AR(2) unique"
Pdcl3,Other,0.6517,0.2191,Real,46.3713,1.19,0.0015,0.5712,True,-0.6302,0.0119,24,True,"All agree"
Npas2,Clock,0.5597,0.5377,Complex,210.7828,0.11,0.0001,0.6905,True,0.7518,0.0016,24,True,"All agree"
Cnot11,Other,0.6898,0.3606,Real,14.3773,1.92,0.5671,0.0764,False,0.1785,1,20,False,"AR(2) unique"
Map4k4,Other,0.7356,0.323,Real,24.6696,23.96,0.0001,0.685,True,0.6302,0.0119,24,True,"All agree"
Il1r2,Other,0.211,0.0027,Complex,1.351,12.1,0.4518,0.1061,False,-0.2889,1,20,False,"All agree: none"
Il1r1,Other,0.5541,0.1003,Complex,110.7351,11.01,0.4784,0.0988,False,-0.3139,1,20,False,"AR(2) unique"
Il1rl2,Other,0.2603,0.01,Real,0.3893,17.13,0.8314,0.0254,False,-0.2836,1,20,False,"All agree: none"
Il1rl1,Other,0.5057,0.0565,Real,1.5833,14.06,0.1761,0.2239,False,-0.2931,1,20,False,"AR(2) unique"
Il18r1,Other,0.118,0.0116,Complex,0.3491,23.98,0.7929,0.0317,False,0.1255,1,28,False,"All agree: none"
Il18rap,Other,0.2879,0.006,Real,1.7364,13.27,0.1253,0.2582,False,0.4073,0.6588,24,False,"All agree: none"
Slc9a4,Other,0.3124,0.0899,Complex,0.5968,9.59,0.755,0.0386,False,-0.1319,1,28,False,"All agree: none"
Slc9a2,Other,0.6337,0.123,Real,1.2541,12.93,0.235,0.1916,False,0.4029,0.6938,28,False,"AR(2) unique"
Tmem182,Other,0.5384,0.0768,Real,10.8452,13.22,0.1571,0.2355,False,-0.3942,0.7717,20,False,"AR(2) unique"
Gm9915,Other,0.5566,0.2543,Complex,1.1147,15.03,0.1011,0.2791,False,0.3573,1,24,False,"AR(2) unique"
Pou3f3,Other,0.5233,0.0657,Real,3.5569,17.5,0.3701,0.1323,False,0.3636,1,28,False,"AR(2) unique"
Mrps9,Other,0.6086,0.1155,Real,21.3822,16.77,0.005,0.5026,True,0.5018,0.1297,24,False,"Partial"
Gpr45,Other,0.8565,0.2621,Real,1.9135,12.75,0.1388,0.2478,False,0.3927,0.7717,24,False,"AR(2) unique"
8430432A02Rik,Other,0.518,0.0968,Complex,2.3231,17.52,0.0763,0.3047,False,0.3782,0.9516,28,False,"AR(2) unique"
AI597479,Other,0.6421,0.1334,Real,15.7488,23.58,0.0802,0.3003,False,0.3693,1,24,False,"AR(2) unique"
Nck2,Other,0.4424,0.0476,Complex,3.5079,23.02,0.4076,0.1195,False,0.2295,1,20,False,"All agree: none"
1500015O10Rik,Other,0.4589,0.0405,Real,2.2615,17.69,0.1841,0.2192,False,0.3971,0.7357,28,False,"All agree: none"
Tpp2,Other,0.7658,0.3202,Real,26.5818,15.03,0.5721,0.0753,False,-0.1964,1,20,False,"AR(2) unique"
Bivm,Other,0.6041,0.1767,Real,36.3694,3.35,0.0053,0.4995,True,0.511,0.114,24,False,"Partial"
Ercc5,Other,0.5176,0.1464,Real,42.9514,19.06,0.0037,0.5211,True,-0.6059,0.0195,20,True,"All agree"
Gulp1,Other,0.3082,0.0099,Real,0.8621,9.8,0.1938,0.2137,False,-0.3265,1,20,False,"All agree: none"
Col3a1,Other,0.4333,0.2094,Complex,17.6893,15.61,0.0179,0.4177,True,-0.4453,0.351,20,False,"Rhythm-only"
Wdr75,Other,0.3008,0.076,Real,9.8461,7.47,0.9103,0.013,False,0.2044,1,20,False,"All agree: none"
Rpl23a,Other,0.3058,0.0912,Real,19.4886,10.66,0.8253,0.0264,False,0.1706,1,28,False,"All agree: none"
Dnah7b,Other,0.4207,0.0211,Real,3.1309,11.93,0.2586,0.1798,False,-0.2149,1,24,False,"All agree: none"
Dnah7c,Other,0.3827,0.0485,Complex,2.0445,13.43,0.2579,0.1801,False,0.2482,1,24,False,"All agree: none"
Tmeff2,Other,0.4577,0.0412,Real,7.1036,13.28,0.1077,0.2729,False,-0.3796,0.9516,28,False,"All agree: none"
Sdpr,Other,0.7291,0.246,Real,7.2745,5.79,0.3888,0.1258,False,0.3181,1,20,False,"AR(2) unique"
Stat4,Other,0.5726,0.1291,Complex,1.669,16.83,0.3963,0.1232,False,-0.3254,1,28,False,"AR(2) unique"
Stat1,Other,0.5068,0.0486,Real,77.5097,21.03,0.0615,0.3236,False,0.438,0.3955,20,False,"AR(2) unique"
Tmem194b,Other,0.4358,0.1332,Complex,1.1344,15.56,0.7939,0.0315,False,-0.1691,1,20,False,"All agree: none"
Hibch,Other,0.6485,0.1405,Real,78.1489,21.26,0.1378,0.2487,False,0.3855,0.8575,24,False,"AR(2) unique"
Mstn,Other,0.4567,0.0405,Real,4.6034,14,0.1858,0.2182,False,-0.3706,1,20,False,"All agree: none"
Ormdl1,Other,0.6092,0.1198,Real,48.7549,21.25,0.0834,0.2968,False,0.3418,1,24,False,"AR(2) unique"
Osgepl1,Other,0.6768,0.1408,Real,33.253,21.2,0.0516,0.3385,False,0.3709,1,24,False,"AR(2) unique"
Ccdc150,Other,0.1989,0.0964,Complex,0.7942,15.79,0.6523,0.0579,False,-0.1111,1,20,False,"All agree: none"
Coq10b,Other,0.7465,0.678,Complex,435.1906,13.52,0,0.7778,True,0.7127,0.0027,24,True,"All agree"
Hspe1,Other,0.4517,0.4167,Complex,341.5185,7.75,0.0004,0.64,True,0.657,0.0074,20,True,"Rhythm-only"
Mob4,Other,0.3968,0.0836,Real,12.8101,17.1,0.8405,0.0239,False,-0.1639,1,24,False,"All agree: none"
Gm10561,Other,0.2279,0.1784,Complex,0.5251,23.5,0.2103,0.2049,False,-0.4313,0.4882,28,False,"All agree: none"
Mars2,Other,0.3119,0.027,Complex,13.4846,9.33,0.1958,0.2126,False,-0.3491,1,24,False,"All agree: none"
Plcl1,Other,0.4108,0.0297,Real,3.3013,13.13,0.2927,0.1642,False,-0.2815,1,24,False,"All agree: none"
1700066M21Rik,Other,0.3821,0.0216,Real,17.8837,1.85,0.1764,0.2237,False,0.3869,0.8575,20,False,"All agree: none"
9430016H08Rik,Other,0.4967,0.0538,Real,19.5357,1.06,0.1413,0.2459,False,0.3212,1,24,False,"All agree: none"
Spats2l,Other,0.559,0.1276,Complex,3.5652,13.21,0.2745,0.1724,False,-0.3461,1,20,False,"AR(2) unique"
Sgol2a,Other,0.4755,0.0454,Real,3.3309,15.43,0.2343,0.192,False,-0.3327,1,24,False,"All agree: none"
Aox1,Other,0.1822,0.0011,Complex,154.8992,23.17,0.0883,0.2918,False,0.3942,0.7717,20,False,"All agree: none"
Aox3,Other,0.5614,0.1736,Real,509.127,19.94,0.0034,0.5255,True,0.4655,0.245,24,False,"Partial"
Aox4,Other,0.3354,0.2144,Complex,0.6026,14.03,0.5901,0.071,False,-0.2778,1,20,False,"All agree: none"
Aox2,Other,0.5251,0.211,Real,1.2612,17.53,0.6922,0.05,False,-0.1538,1,20,False,"AR(2) unique"
Bzw1,Other,0.5032,0.0572,Real,55.208,10.84,0.3303,0.1477,False,0.2868,1,28,False,"AR(2) unique"
Nif3l1,Other,0.417,0.0349,Real,76.5873,4.31,0.0122,0.4452,True,0.4015,0.6938,20,False,"Rhythm-only"
Ndufb3,Other,0.4722,0.2983,Real,41.2975,2.75,0.0004,0.6395,True,0.6643,0.0064,24,True,"Rhythm-only"
Cbx3,Other,0.3368,0.0303,Complex,31.149,16.57,0.1572,0.2354,False,-0.3723,1,20,False,"All agree: none"
Cflar,Other,0.2866,0.0288,Real,50.019,12.05,0.2974,0.1619,False,-0.3636,1,24,False,"All agree: none"
Casp8,Other,0.7358,0.2562,Real,23.9858,15.87,0.8343,0.025,False,-0.1825,1,20,False,"AR(2) unique"
Stradb,Other,0.6025,0.1096,Real,41.4225,17.59,0.101,0.2792,False,0.3709,1,24,False,"AR(2) unique"
G730003C15Rik,Other,0.4803,0.0501,Complex,3.1859,15.71,0.5954,0.07,False,0.3127,1,28,False,"All agree: none"
Cdk15,Other,0.2132,0.0023,Real,2.0101,13.82,0.1787,0.2224,False,-0.3193,1,24,False,"All agree: none"
Fzd7,Other,0.5812,0.1226,Real,66.681,4.12,0.0106,0.4546,True,-0.4655,0.245,24,False,"Partial"
Gm973,Other,0.2675,0.0978,Complex,0.7526,14,0.6426,0.06,False,0.1952,1,28,False,"All agree: none"
Nop58,Other,0.3951,0.0224,Real,39.5543,10.13,0.2675,0.1759,False,0.2993,1,20,False,"All agree: none"
Bmpr2,Other,0.5547,0.0761,Real,26.9579,9.29,0.5074,0.0913,False,-0.2182,1,20,False,"AR(2) unique"
Fam117b,Other,0.5682,0.1241,Real,14.6589,14.9,0.3644,0.1342,False,-0.2659,1,20,False,"AR(2) unique"
Carf,Other,0.7427,0.2521,Real,7.108,4.52,0.4407,0.1093,False,-0.2142,1,28,False,"AR(2) unique"
Nbeal1,Other,0.716,0.2176,Real,51.8441,13.01,0.215,0.2021,False,-0.3345,1,20,False,"AR(2) unique"
Cyp20a1,Other,0.787,0.3281,Real,34.343,23.89,0.1524,0.2384,False,-0.3345,1,24,False,"AR(2) unique"
Abi2,Other,0.7638,0.2475,Real,6.7198,12.94,0.3206,0.1518,False,-0.2742,1,24,False,"AR(2) unique"
Eif4a1,Other,0.3756,0.1243,Real,272.8983,11.5,0.0135,0.4379,True,-0.4599,0.2761,28,False,"Rhythm-only"
Cd28,Other,0.2361,0.0085,Real,2.0454,14.69,0.1517,0.239,False,-0.4118,0.621,20,False,"All agree: none"
Ctla4,Other,0.6634,0.1352,Real,1.0173,11.25,0.4621,0.1032,False,0.1978,1,28,False,"AR(2) unique"
Icos,Other,0.5189,0.1085,Complex,1.7251,0.11,0.7261,0.0437,False,0.1284,1,20,False,"AR(2) unique"
Pard3b,Other,0.6031,0.0825,Real,7.07,20.05,0.0077,0.475,True,0.5209,0.094,24,False,"Partial"
Nrp2,Other,0.4559,0.0373,Real,30.1326,7.03,0.0761,0.305,False,-0.3855,0.8575,24,False,"All agree: none"
Eef1b2,Other,0.6714,0.1641,Real,106.1354,3.2,0.0395,0.3596,True,0.5986,0.0223,20,True,"All agree"
Snora41,Other,0.403,0.1602,Complex,2.2599,14.59,0.1007,0.2794,False,0.4672,0.245,28,False,"All agree: none"
Zdbf2,Other,0.4342,0.0355,Real,1.9843,13.09,0.0737,0.3079,False,-0.4104,0.6531,24,False,"All agree: none"
Adam23,Other,0.7113,0.2531,Real,73.8217,4.05,0.0008,0.5995,True,-0.5719,0.0368,24,True,"All agree"
Fastkd2,Other,0.7437,0.2751,Real,18.5671,19.25,0.1403,0.2467,False,-0.3327,1,20,False,"AR(2) unique"
Gm13749,Other,0.4259,0.0318,Real,1.3428,13.7,0.2688,0.1752,False,-0.2051,1,20,False,"All agree: none"
Creb1,Other,0.5774,0.1484,Real,37.764,4.5,0.0931,0.287,False,-0.5191,0.0946,28,False,"AR(2) unique"
Ccnyl1,Other,0.7597,0.2596,Real,16.6602,10.63,0.1933,0.2139,False,-0.3431,1,28,False,"AR(2) unique"
Pikfyve,Other,0.4541,0.1902,Real,14.7252,6.99,0.4913,0.0954,False,0.2577,1,28,False,"All agree: none"
Pth2r,Other,0.433,0.0321,Real,1.3378,16.68,0.2951,0.1631,False,-0.356,1,20,False,"All agree: none"
Crygf,Other,0.4646,0.0464,Real,0.9108,23.97,0.2699,0.1747,False,0.2615,1,24,False,"All agree: none"
Unc80,Other,0.6456,0.1699,Real,3.4681,13.36,0.1367,0.2495,False,-0.3327,1,24,False,"AR(2) unique"
Rpe,Other,0.6971,0.2134,Real,43.4328,2.76,0.1081,0.2725,False,-0.4465,0.3331,28,False,"AR(2) unique"
Cps1,Other,0.4244,0.1813,Real,228.7965,2.36,0.071,0.3111,False,0.4044,0.6607,24,False,"All agree: none"
Spag16,Other,0.4149,0.0269,Real,2.1109,14.92,0.2037,0.2082,False,-0.3193,1,20,False,"All agree: none"
Vwc2l,Other,0.7134,0.2151,Real,3.5933,13.19,0.2325,0.1931,False,-0.2555,1,20,False,"AR(2) unique"
Atic,Other,0.5638,0.3386,Real,87.8255,5.82,0.0001,0.704,True,-0.6594,0.007,24,True,"All agree"
Apol7d,Other,0.5135,0.0888,Complex,1.0818,3.24,0.724,0.044,False,0.1612,1,24,False,"AR(2) unique"
Rpl21,Other,0.62,0.1244,Real,128.9912,3.48,0.1989,0.2109,False,0.365,1,20,False,"AR(2) unique"
Tmem169,Other,0.4989,0.0371,Real,0.5653,17,0.7648,0.0368,False,0.2587,1,28,False,"All agree: none"
Xrcc5,Other,0.7712,0.2832,Real,60.3207,0.92,0.0722,0.3097,False,-0.4,0.6938,28,False,"AR(2) unique"
Smarcal1,Other,0.7715,0.3174,Real,44.8123,1.78,0,0.7192,True,-0.6982,0.0034,24,True,"All agree"
Igfbp2,Other,0.6768,0.203,Real,243.0306,16.83,0.0308,0.3787,True,-0.4891,0.1674,20,False,"Partial"
Rufy4,Other,0.3164,0.0677,Real,1.1448,12.61,0.6192,0.0648,False,0.2394,1,28,False,"All agree: none"
Cxcr2,Other,0.0721,0.0202,Real,1.3373,1.29,0.2433,0.1874,False,0.465,0.2761,28,False,"All agree: none"
Arpc2,Other,0.4204,0.0398,Real,34.2856,8.74,0.5606,0.0779,False,-0.3273,1,20,False,"All agree: none"
Gpbar1,Other,0.619,0.1283,Real,7.9504,13.46,0.0996,0.2804,False,0.4117,0.5915,28,False,"AR(2) unique"
Pnkd,Other,0.7018,0.7348,Complex,284.7672,2.12,0,0.9296,True,0.8029,0.001,24,True,"All agree"
Catip,Other,0.4737,0.0515,Complex,0.5409,16.72,0.8193,0.0274,False,0.2606,1,28,False,"All agree: none"
Slc11a1,Other,0.202,0.0063,Complex,28.2757,3.98,0.3061,0.158,False,0.3139,1,20,False,"All agree: none"
Ctdsp1,Other,0.6416,0.163,Real,217.6999,15.72,0.0176,0.4191,True,0.48,0.1901,24,False,"Partial"
Mir26b,Other,0.5557,0.0957,Complex,2.809,13.43,0.5129,0.0898,False,0.1455,1,28,False,"AR(2) unique"
Vil1,Other,0.2919,0.0518,Complex,1.2526,14.61,0.5169,0.0887,False,0.3679,1,28,False,"All agree: none"
Cnot9,Other,0.6593,0.1631,Real,54.9819,1.85,0.0119,0.4466,True,0.5402,0.0663,24,False,"Partial"
Plcd4,Other,0.4564,0.159,Real,0.5786,22.91,0.6109,0.0665,False,-0.1758,1,28,False,"All agree: none"
Bcs1l,Other,0.7262,0.2419,Real,83.8675,2.07,0.0004,0.6298,True,0.6132,0.0171,24,True,"All agree"
Stk36,Other,0.3826,0.0201,Real,3.2684,1.45,0.1584,0.2346,False,0.3327,1,24,False,"All agree: none"
Ttll4,Other,0.4944,0.0588,Real,22.7037,13.24,0.2269,0.1959,False,-0.3315,1,20,False,"All agree: none"
Cyp27a1,Other,0.417,0.0325,Real,217.9419,2.96,0.0216,0.4045,True,-0.4509,0.3108,24,False,"Rhythm-only"
Wnt6,Other,0.2278,0.0183,Complex,2.1558,12.78,0.4685,0.1015,False,0.1938,1,28,False,"All agree: none"
Wnt10a,Other,0.1945,0.0233,Complex,6.5801,14.88,0.4033,0.1209,False,0.2214,1,28,False,"All agree: none"
Cdk5r2,Other,0.1755,0.0065,Real,4.3752,12.53,0.5411,0.0826,False,0.2722,1,28,False,"All agree: none"
Fam134a,Other,0.4317,0.0369,Real,13.0119,20.97,0.8645,0.02,False,-0.1053,1,28,False,"All agree: none"
Zfand2b,Other,0.3058,0.201,Complex,8.4014,1.79,0.7952,0.0313,False,0.1314,1,20,False,"All agree: none"
Ankzf1,Other,0.7448,0.2577,Real,12.1874,23.71,0.3891,0.1257,False,0.1679,1,28,False,"AR(2) unique"
Stk16,Other,0.5898,0.1259,Real,140.3197,4.15,0.0025,0.5439,True,0.5594,0.0481,20,True,"All agree"
Des,Other,0.3548,0.1006,Complex,3.2331,4.09,0.6245,0.0637,False,0.146,1,24,False,"All agree: none"
Speg,Other,0.3959,0.0426,Real,1.7828,15.08,0.3383,0.1445,False,0.2836,1,28,False,"All agree: none"
Gmppa,Other,0.2481,0.0656,Complex,22.9585,8.77,0.7646,0.0368,False,-0.2482,1,28,False,"All agree: none"
Asic4,Other,0.2981,0.0108,Complex,3.3033,17.79,0.3328,0.1467,False,0.2982,1,28,False,"All agree: none"
Tmem198,Other,0.4674,0.0546,Complex,2.0922,14.1,0.0894,0.2907,False,-0.4249,0.4977,24,False,"All agree: none"
Stk11ip,Other,0.6556,0.1511,Real,6.7498,22.72,0.1946,0.2133,False,0.3942,0.7717,24,False,"AR(2) unique"
Slc4a3,Other,0.5647,0.0996,Real,1.7497,13.45,0.4333,0.1115,False,-0.2774,1,20,False,"AR(2) unique"
Gm33152,Other,0.3869,0.0185,Real,4.0187,14.3,0.2459,0.1862,False,-0.3504,1,28,False,"All agree: none"
Sgpp2,Other,0.2585,0.0154,Complex,1.6399,10.97,0.4464,0.1077,False,-0.1578,1,20,False,"All agree: none"
Mogat1,Other,0.1671,0.0301,Complex,1.0734,10.63,0.4171,0.1164,False,-0.2784,1,28,False,"All agree: none"
Kcne4,Other,0.487,0.0832,Real,1.4446,17.29,0.2428,0.1877,False,0.2982,1,28,False,"All agree: none"
Gm10555,Other,0.3704,0.2295,Complex,0.2681,15.02,0.796,0.0312,False,-0.1507,1,20,False,"All agree: none"
