Scenario,True_Modulus,Root_Type,Sample_Size,Noise_Level,N_Replicates,Mean_Estimated,Median_Estimated,Bias,RMSE,MAE,SD,CI95_Lower,CI95_Upper,Coverage_Rate,Recovery_5pct,Recovery_10pct
Target-like,0.5,Real,16,0.5,1000,0.6165,0.6252,0.1165,0.1906,0.1578,0.151,0.3203,0.9034,0.885,0.08,0.18
Target-like,0.5,Real,16,1,1000,0.6147,0.6242,0.1147,0.1899,0.1571,0.1514,0.3186,0.9018,0.89,0.082,0.182
Target-like,0.5,Real,24,0.1,1000,0.6066,0.6119,0.1066,0.1698,0.1404,0.1323,0.3445,0.8436,0.873,0.099,0.196
Target-like,0.5,Real,24,0.2,1000,0.6064,0.6111,0.1064,0.1687,0.1394,0.131,0.3457,0.8402,0.871,0.101,0.199
Target-like,0.5,Real,24,0.3,1000,0.6065,0.6126,0.1065,0.169,0.1398,0.1313,0.3449,0.8402,0.872,0.101,0.196
Target-like,0.5,Real,24,0.5,1000,0.6049,0.6094,0.1049,0.1679,0.1386,0.1312,0.3449,0.8397,0.875,0.102,0.201
Target-like,0.5,Real,24,1,1000,0.606,0.6094,0.106,0.1685,0.1386,0.1311,0.3432,0.8437,0.87,0.104,0.203
Target-like,0.5,Real,48,0.1,1000,0.5788,0.5715,0.0788,0.1355,0.1075,0.1103,0.3834,0.8073,0.882,0.139,0.3
Target-like,0.5,Real,48,0.2,1000,0.5785,0.5714,0.0785,0.1352,0.1073,0.1101,0.3834,0.8073,0.883,0.138,0.299
Target-like,0.5,Real,48,0.3,1000,0.5788,0.5714,0.0788,0.1348,0.1071,0.1095,0.3852,0.7989,0.88,0.138,0.3
Target-like,0.5,Real,48,0.5,1000,0.5792,0.5715,0.0792,0.1355,0.1077,0.11,0.3852,0.8073,0.883,0.137,0.297
Target-like,0.5,Real,48,1,1000,0.5806,0.5728,0.0806,0.1364,0.1085,0.1101,0.386,0.809,0.882,0.136,0.293
Mid persistence,0.5477225575051661,Complex,8,0.1,1000,0.7203,0.7303,0.1726,0.2623,0.218,0.1976,0.3056,1.0759,0.866,0.074,0.14
Mid persistence,0.5477225575051661,Complex,8,0.2,1000,0.7203,0.7303,0.1726,0.2624,0.2182,0.1978,0.3056,1.0759,0.866,0.072,0.139
Mid persistence,0.5477225575051661,Complex,8,0.3,1000,0.7204,0.7319,0.1726,0.2628,0.2183,0.1982,0.301,1.0763,0.866,0.073,0.141
Mid persistence,0.5477225575051661,Complex,8,0.5,1000,0.7195,0.7297,0.1718,0.2625,0.2182,0.1986,0.301,1.0767,0.869,0.073,0.138
Mid persistence,0.5477225575051661,Complex,8,1,1000,0.7205,0.7303,0.1728,0.2651,0.2184,0.2011,0.3207,1.0826,0.875,0.072,0.136
Mid persistence,0.5477225575051661,Complex,12,0.1,1000,0.6716,0.6837,0.1239,0.2094,0.1746,0.1689,0.3,0.9692,0.896,0.09,0.18
Mid persistence,0.5477225575051661,Complex,12,0.2,1000,0.6714,0.6839,0.1237,0.2084,0.1738,0.1678,0.3124,0.9692,0.896,0.091,0.181
Mid persistence,0.5477225575051661,Complex,12,0.3,1000,0.6727,0.6843,0.125,0.2089,0.1741,0.1675,0.317,0.9708,0.894,0.092,0.183
Mid persistence,0.5477225575051661,Complex,12,0.5,1000,0.6731,0.684,0.1254,0.2092,0.1743,0.1675,0.317,0.9708,0.893,0.093,0.182
Mid persistence,0.5477225575051661,Complex,12,1,1000,0.6754,0.6873,0.1277,0.2099,0.1755,0.1667,0.317,0.9708,0.892,0.091,0.177
Mid persistence,0.5477225575051661,Complex,16,0.1,1000,0.6577,0.6716,0.1099,0.1779,0.1494,0.1399,0.3508,0.9046,0.883,0.089,0.195
Mid persistence,0.5477225575051661,Complex,16,0.2,1000,0.6587,0.6736,0.1109,0.1788,0.1505,0.1403,0.3508,0.9055,0.881,0.087,0.19
Mid persistence,0.5477225575051661,Complex,16,0.3,1000,0.6591,0.6736,0.1114,0.1785,0.1502,0.1395,0.3548,0.9055,0.881,0.088,0.189
Mid persistence,0.5477225575051661,Complex,16,0.5,1000,0.6596,0.6761,0.1119,0.1797,0.1517,0.1407,0.3548,0.9055,0.879,0.085,0.186
Mid persistence,0.5477225575051661,Complex,16,1,1000,0.6639,0.6801,0.1162,0.1811,0.1532,0.1389,0.3648,0.9064,0.869,0.083,0.181
Mid persistence,0.5477225575051661,Complex,24,0.1,1000,0.6368,0.6392,0.089,0.147,0.1209,0.1171,0.4011,0.8554,0.885,0.125,0.27
Mid persistence,0.5477225575051661,Complex,24,0.2,1000,0.6369,0.6393,0.0891,0.1471,0.1211,0.1171,0.4011,0.8581,0.887,0.123,0.269
Mid persistence,0.5477225575051661,Complex,24,0.3,1000,0.6365,0.6393,0.0888,0.1466,0.1207,0.1167,0.4011,0.8554,0.886,0.125,0.271
Mid persistence,0.5477225575051661,Complex,24,0.5,1000,0.6365,0.6396,0.0888,0.1471,0.1211,0.1174,0.4011,0.8554,0.884,0.125,0.273
Mid persistence,0.5477225575051661,Complex,24,1,1000,0.6369,0.6399,0.0892,0.1464,0.1207,0.1161,0.4116,0.8524,0.881,0.126,0.272
Mid persistence,0.5477225575051661,Complex,48,0.1,1000,0.6072,0.605,0.0594,0.1112,0.0905,0.094,0.4363,0.7821,0.906,0.171,0.36
Mid persistence,0.5477225575051661,Complex,48,0.2,1000,0.607,0.6045,0.0592,0.1115,0.0907,0.0945,0.4355,0.7825,0.905,0.172,0.36
Mid persistence,0.5477225575051661,Complex,48,0.3,1000,0.6072,0.6045,0.0595,0.1114,0.0906,0.0943,0.4355,0.7821,0.906,0.173,0.361
Mid persistence,0.5477225575051661,Complex,48,0.5,1000,0.607,0.6045,0.0592,0.1112,0.0903,0.0941,0.4363,0.7821,0.906,0.175,0.36
Mid persistence,0.5477225575051661,Complex,48,1,1000,0.6072,0.6045,0.0595,0.1108,0.0898,0.0935,0.4391,0.7821,0.902,0.176,0.364
Clock-like,0.6708203932499369,Complex,8,0.1,1000,0.7653,0.7756,0.0945,0.2193,0.176,0.1981,0.3268,1.124,0.927,0.126,0.234
Clock-like,0.6708203932499369,Complex,8,0.2,1000,0.766,0.776,0.0952,0.2198,0.1765,0.1982,0.3268,1.124,0.928,0.125,0.233
Clock-like,0.6708203932499369,Complex,8,0.3,1000,0.7659,0.7769,0.095,0.2195,0.1763,0.198,0.3321,1.124,0.927,0.125,0.232
Clock-like,0.6708203932499369,Complex,8,0.5,1000,0.7648,0.7769,0.094,0.2192,0.1766,0.1981,0.3321,1.1202,0.927,0.122,0.23
Clock-like,0.6708203932499369,Complex,8,1,1000,0.7639,0.7779,0.0931,0.2164,0.1751,0.1954,0.3389,1.1133,0.932,0.119,0.229
Clock-like,0.6708203932499369,Complex,12,0.1,1000,0.7289,0.7495,0.0581,0.1682,0.1379,0.1579,0.375,0.9753,0.955,0.135,0.281
Clock-like,0.6708203932499369,Complex,12,0.2,1000,0.7285,0.7484,0.0577,0.1681,0.1377,0.1579,0.375,0.9753,0.955,0.137,0.282
Clock-like,0.6708203932499369,Complex,12,0.3,1000,0.7281,0.7477,0.0572,0.1683,0.1379,0.1583,0.375,0.9753,0.956,0.136,0.283
Clock-like,0.6708203932499369,Complex,12,0.5,1000,0.7297,0.749,0.0589,0.1685,0.138,0.158,0.3751,0.9777,0.955,0.135,0.281
Clock-like,0.6708203932499369,Complex,12,1,1000,0.729,0.7484,0.0582,0.1673,0.137,0.157,0.3751,0.9753,0.955,0.136,0.284
Clock-like,0.6708203932499369,Complex,16,0.1,1000,0.714,0.7286,0.0432,0.1406,0.1157,0.1339,0.435,0.9415,0.951,0.17,0.331
Clock-like,0.6708203932499369,Complex,16,0.2,1000,0.7142,0.7286,0.0433,0.1406,0.1158,0.1338,0.435,0.9415,0.951,0.168,0.332
Clock-like,0.6708203932499369,Complex,16,0.3,1000,0.7154,0.7304,0.0445,0.1406,0.1158,0.1335,0.435,0.9415,0.95,0.166,0.332
Clock-like,0.6708203932499369,Complex,16,0.5,1000,0.7138,0.7271,0.043,0.1405,0.1153,0.1338,0.4348,0.9415,0.95,0.168,0.339
Clock-like,0.6708203932499369,Complex,16,1,1000,0.7134,0.7268,0.0426,0.1403,0.1151,0.1338,0.4348,0.9415,0.949,0.168,0.342
Clock-like,0.6708203932499369,Complex,24,0.1,1000,0.7023,0.7155,0.0315,0.113,0.0927,0.1086,0.4694,0.8821,0.955,0.21,0.405
Clock-like,0.6708203932499369,Complex,24,0.2,1000,0.7031,0.7157,0.0323,0.1134,0.0928,0.1088,0.4694,0.8838,0.955,0.211,0.406
Clock-like,0.6708203932499369,Complex,24,0.3,1000,0.7039,0.7162,0.0331,0.1141,0.0934,0.1092,0.4694,0.8844,0.955,0.209,0.401
Clock-like,0.6708203932499369,Complex,24,0.5,1000,0.7038,0.7163,0.033,0.1136,0.0931,0.1088,0.4708,0.8838,0.956,0.211,0.401
Clock-like,0.6708203932499369,Complex,24,1,1000,0.7036,0.7162,0.0328,0.113,0.0926,0.1081,0.4694,0.8814,0.957,0.208,0.406
Clock-like,0.6708203932499369,Complex,48,0.1,1000,0.6876,0.6948,0.0168,0.0843,0.0697,0.0827,0.5195,0.8308,0.957,0.269,0.527
Clock-like,0.6708203932499369,Complex,48,0.2,1000,0.6874,0.6948,0.0166,0.0845,0.0699,0.0829,0.5187,0.8308,0.956,0.266,0.523
Clock-like,0.6708203932499369,Complex,48,0.3,1000,0.6872,0.6942,0.0164,0.0843,0.0696,0.0827,0.5187,0.8308,0.956,0.268,0.523
Clock-like,0.6708203932499369,Complex,48,0.5,1000,0.6878,0.695,0.017,0.0844,0.0699,0.0828,0.5135,0.8308,0.955,0.265,0.521
Clock-like,0.6708203932499369,Complex,48,1,1000,0.6888,0.6953,0.018,0.0846,0.0699,0.0827,0.5135,0.8308,0.955,0.265,0.518
High persistence,0.7745966692414834,Complex,8,0.1,1000,0.8198,0.8358,0.0452,0.1928,0.1504,0.1876,0.4193,1.1228,0.961,0.159,0.309
High persistence,0.7745966692414834,Complex,8,0.2,1000,0.8202,0.8363,0.0456,0.1934,0.1511,0.188,0.4193,1.1228,0.961,0.158,0.306
High persistence,0.7745966692414834,Complex,8,0.3,1000,0.8195,0.837,0.0449,0.1926,0.1508,0.1874,0.4248,1.1225,0.963,0.158,0.303
High persistence,0.7745966692414834,Complex,8,0.5,1000,0.8219,0.84,0.0473,0.1936,0.1518,0.1879,0.4248,1.1225,0.963,0.158,0.302
High persistence,0.7745966692414834,Complex,8,1,1000,0.8232,0.842,0.0486,0.1915,0.1502,0.1854,0.4295,1.1151,0.965,0.155,0.302
High persistence,0.7745966692414834,Complex,12,0.1,1000,0.7792,0.794,0.0046,0.1486,0.1184,0.1486,0.4503,1.014,0.96,0.208,0.382
High persistence,0.7745966692414834,Complex,12,0.2,1000,0.7803,0.7945,0.0057,0.1482,0.1183,0.1482,0.4551,1.0147,0.959,0.209,0.381
High persistence,0.7745966692414834,Complex,12,0.3,1000,0.7808,0.7949,0.0062,0.1477,0.1177,0.1476,0.4551,1.0147,0.958,0.211,0.385
High persistence,0.7745966692414834,Complex,12,0.5,1000,0.7802,0.7948,0.0056,0.1487,0.1187,0.1487,0.4503,1.0147,0.961,0.203,0.379
High persistence,0.7745966692414834,Complex,12,1,1000,0.7802,0.794,0.0056,0.1483,0.1181,0.1483,0.4551,1.0197,0.961,0.208,0.382
High persistence,0.7745966692414834,Complex,16,0.1,1000,0.7843,0.801,0.0097,0.1186,0.0956,0.1183,0.5166,0.9839,0.951,0.239,0.476
High persistence,0.7745966692414834,Complex,16,0.2,1000,0.7847,0.801,0.0101,0.1181,0.0953,0.1177,0.5169,0.9839,0.95,0.237,0.478
High persistence,0.7745966692414834,Complex,16,0.3,1000,0.7839,0.7992,0.0093,0.118,0.0951,0.1177,0.5169,0.9837,0.949,0.24,0.479
High persistence,0.7745966692414834,Complex,16,0.5,1000,0.7841,0.7992,0.0095,0.1176,0.0946,0.1172,0.5169,0.9837,0.951,0.246,0.482
High persistence,0.7745966692414834,Complex,16,1,1000,0.7846,0.7992,0.01,0.1173,0.0945,0.1169,0.5255,0.9837,0.953,0.248,0.481
High persistence,0.7745966692414834,Complex,24,0.1,1000,0.7744,0.7886,-0.0002,0.0992,0.0795,0.0993,0.5579,0.9354,0.952,0.298,0.558
High persistence,0.7745966692414834,Complex,24,0.2,1000,0.7754,0.7889,0.0008,0.099,0.0794,0.0991,0.5581,0.9359,0.953,0.298,0.558
High persistence,0.7745966692414834,Complex,24,0.3,1000,0.7761,0.7899,0.0015,0.0992,0.0796,0.0993,0.5581,0.9359,0.952,0.294,0.556
High persistence,0.7745966692414834,Complex,24,0.5,1000,0.7759,0.7895,0.0013,0.0998,0.0801,0.0999,0.5579,0.9354,0.953,0.291,0.55
High persistence,0.7745966692414834,Complex,24,1,1000,0.7757,0.7891,0.0011,0.0995,0.0796,0.0995,0.5579,0.9345,0.953,0.295,0.552
High persistence,0.7745966692414834,Complex,48,0.1,1000,0.773,0.7815,-0.0016,0.0711,0.0571,0.0711,0.6181,0.8888,0.958,0.405,0.723
High persistence,0.7745966692414834,Complex,48,0.2,1000,0.7728,0.7805,-0.0018,0.0711,0.0571,0.0711,0.6181,0.8888,0.958,0.405,0.723
High persistence,0.7745966692414834,Complex,48,0.3,1000,0.7731,0.7815,-0.0015,0.0711,0.0571,0.0712,0.6181,0.8888,0.958,0.404,0.723
High persistence,0.7745966692414834,Complex,48,0.5,1000,0.774,0.7825,-0.0006,0.071,0.0571,0.071,0.6181,0.8899,0.959,0.403,0.723
High persistence,0.7745966692414834,Complex,48,1,1000,0.7728,0.7823,-0.0018,0.0718,0.0576,0.0718,0.6141,0.8885,0.957,0.404,0.724
Near-critical,0.8660254037844386,Complex,8,0.1,1000,0.8785,0.8871,0.0124,0.1745,0.1307,0.1741,0.4985,1.1835,0.952,0.232,0.43
Near-critical,0.8660254037844386,Complex,8,0.2,1000,0.8795,0.8863,0.0135,0.1769,0.1314,0.1765,0.4985,1.1917,0.953,0.235,0.43
Near-critical,0.8660254037844386,Complex,8,0.3,1000,0.8794,0.8868,0.0134,0.1772,0.1318,0.1768,0.4985,1.1917,0.955,0.231,0.429
Near-critical,0.8660254037844386,Complex,8,0.5,1000,0.878,0.8863,0.012,0.1778,0.1323,0.1775,0.4936,1.1917,0.955,0.229,0.429
Near-critical,0.8660254037844386,Complex,8,1,1000,0.8763,0.8863,0.0103,0.1766,0.1323,0.1764,0.4985,1.1835,0.954,0.229,0.424
Near-critical,0.8660254037844386,Complex,12,0.1,1000,0.8518,0.8712,-0.0142,0.1277,0.0964,0.1269,0.5451,1.0438,0.938,0.299,0.547
Near-critical,0.8660254037844386,Complex,12,0.2,1000,0.8508,0.8702,-0.0152,0.128,0.0971,0.1272,0.5451,1.0421,0.939,0.292,0.541
Near-critical,0.8660254037844386,Complex,12,0.3,1000,0.8501,0.8701,-0.0159,0.1288,0.0974,0.1279,0.543,1.0438,0.939,0.294,0.542
Near-critical,0.8660254037844386,Complex,12,0.5,1000,0.8511,0.8711,-0.0149,0.1277,0.0968,0.1269,0.5451,1.0438,0.938,0.294,0.544
Near-critical,0.8660254037844386,Complex,12,1,1000,0.8507,0.8698,-0.0154,0.1272,0.0963,0.1263,0.5451,1.0438,0.942,0.293,0.547
Near-critical,0.8660254037844386,Complex,16,0.1,1000,0.8496,0.8679,-0.0165,0.1049,0.0794,0.1036,0.6002,1.0145,0.948,0.37,0.635
Near-critical,0.8660254037844386,Complex,16,0.2,1000,0.8499,0.8681,-0.0161,0.1049,0.0795,0.1037,0.6013,1.0148,0.947,0.369,0.637
Near-critical,0.8660254037844386,Complex,16,0.3,1000,0.8501,0.8679,-0.0159,0.105,0.0796,0.1038,0.6013,1.0148,0.947,0.366,0.636
Near-critical,0.8660254037844386,Complex,16,0.5,1000,0.8507,0.8683,-0.0154,0.1044,0.0791,0.1033,0.6013,1.0145,0.948,0.367,0.637
Near-critical,0.8660254037844386,Complex,16,1,1000,0.8499,0.8665,-0.0162,0.104,0.0788,0.1027,0.6013,1.0145,0.951,0.366,0.634
Near-critical,0.8660254037844386,Complex,24,0.1,1000,0.8497,0.8644,-0.0163,0.0874,0.0666,0.0859,0.6499,0.9779,0.943,0.413,0.742
Near-critical,0.8660254037844386,Complex,24,0.2,1000,0.8501,0.8654,-0.0159,0.0874,0.0666,0.086,0.6499,0.9779,0.943,0.414,0.741
Near-critical,0.8660254037844386,Complex,24,0.3,1000,0.8508,0.8664,-0.0153,0.0873,0.0665,0.086,0.6499,0.9779,0.943,0.416,0.741
Near-critical,0.8660254037844386,Complex,24,0.5,1000,0.8512,0.8667,-0.0148,0.0867,0.0658,0.0855,0.6514,0.9782,0.943,0.424,0.743
Near-critical,0.8660254037844386,Complex,24,1,1000,0.8523,0.8671,-0.0137,0.0857,0.0651,0.0846,0.6553,0.9782,0.945,0.421,0.748
Near-critical,0.8660254037844386,Complex,48,0.1,1000,0.8563,0.8657,-0.0097,0.0591,0.0462,0.0583,0.7204,0.9464,0.943,0.56,0.874
Near-critical,0.8660254037844386,Complex,48,0.2,1000,0.8563,0.8656,-0.0097,0.0592,0.0463,0.0584,0.7204,0.9464,0.943,0.559,0.874
Near-critical,0.8660254037844386,Complex,48,0.3,1000,0.8557,0.8648,-0.0103,0.0594,0.0463,0.0586,0.7201,0.9464,0.942,0.558,0.873
Near-critical,0.8660254037844386,Complex,48,0.5,1000,0.8559,0.8656,-0.0101,0.0596,0.0463,0.0587,0.7201,0.9464,0.943,0.559,0.873
Near-critical,0.8660254037844386,Complex,48,1,1000,0.8556,0.865,-0.0104,0.0596,0.0464,0.0588,0.7201,0.9456,0.945,0.553,0.87

Misspecification Results
Scenario,Description,True_Process,N_Replicates,Sample_Size,Noise_Level,Mean_Estimated_Modulus,Bias_vs_Reference,Hierarchy_Preserved
AR(1) fitted as AR(2),"True process is AR(1) with φ₁=0.7, φ₂=0. AR(2) should recover |λ|≈0.7 with φ₂≈0.","AR(1), φ₁=0.7",1000,24,0.3,0.573,-0.127,True
AR(3) fitted as AR(2),True process is AR(3). AR(2) should still preserve relative ordering between high and low persistence processes.,"AR(3), two parameter sets",1000,24,0.3,0.506,0.042,True
Threshold AR (nonlinear),Nonlinear threshold AR where coefficients switch based on sign. Tests whether linear AR(2) captures the average dynamics.,"Threshold AR(2), regime-switching",1000,24,0.3,0.587,0.129,True
"ARMA(2,1) fitted as AR(2)",True process includes MA(1) component (θ₁=0.4). Tests robustness when moving-average terms are present.,"ARMA(2,1), φ₁=0.8, φ₂=−0.3, θ₁=0.4",1000,24,0.3,0.73,0.183,True
