timestamp,TopFlash_NL,BetaCatenin_NL
0,0.92,0.95
10,0.9956954058174464,1.0022917247937517
20,1.010830967266649,0.9877645023302253
30,1.0104357023663988,0.9962147642656213
40,1.009604254061504,0.9878604704711659
50,1.0073430693654997,0.9913133279931058
60,1.0081301283186097,0.9890303095312069
70,1.0042173897644766,0.9932287347079352
80,1.0038942952079637,0.9915592756251893
90,1.0056417689221655,0.9870930793098587
100,1.006261614846069,0.982583067897597
110,0.9964863551592346,0.9858117372094287
120,0.9927643764932613,0.9881604595358638
130,0.9987981613200533,0.980963651191124
140,1.0010999994297292,0.9884426139247315
150,0.9909729763306451,0.9818518155320867
160,0.9968917303777808,0.9893485271225546
170,0.9981958118063549,0.988264229728919
180,0.9881453150656251,0.9859306782583405
190,1.0085306942392602,1.0043467416200103
200,1.0034268571390224,0.9978026844534447
210,0.9973564531291704,0.9888204595487392
220,1.0038858051058859,0.9917427409690496
230,1.0036697008239495,0.9865073235084193
240,0.9938781162031999,0.9843116403978416
250,0.9970571593677934,0.9938171383885321
260,0.994866064586802,0.9909398833694189
270,0.9981403084250239,0.9886042473277193
280,0.9992156136009901,1.0013448428048877
290,0.9839700631273504,0.9872413411502934
300,0.9843319548142729,0.9891700444718382
310,0.9901154077892201,0.9861824006185262
320,0.9973064322980417,0.9979971700050985
330,0.9957690516540204,0.9843913498669713
340,0.9885838167989999,0.9796798576730853
350,0.9930272393013596,0.9761965853127427
360,0.9874491184482358,0.9751047782992223
370,1.0033603079070068,0.9835890042073815
380,1.002804502158423,0.977782077618181
390,0.9930747301196013,0.9750728972965282
400,0.9970681254385313,0.9802911550079393
410,0.9902652368615844,0.9718968832252937
420,0.9983275851690058,0.9791678809556611
430,1.0000073826915032,0.9831551493158075
440,0.9903071499908865,0.9730789600649861
450,0.9857489958647824,0.9739101333584527
460,1.0039842961252288,0.9846022945478297
470,0.9989376543465868,0.9863697137600598
480,0.9928179974830728,0.9826545661959788
490,0.987642180423374,0.9697061519828456
500,1.0069453285039007,0.9858617089026547
510,0.9964559867714949,0.9692462018532971
520,0.9943087673849312,0.9600179122758851
530,0.9979273419176456,0.9696032685974005
540,0.9936085503945108,0.9721235579105454
550,0.9932752467654494,0.9683070232202984
560,0.9993359359791457,0.9761522801765743
570,0.9985987605121284,0.976642614673511
580,0.9913454880428926,0.9715723501943947
590,0.9994840038295297,0.9804691455995429
600,1.000480513730353,0.9798497472917027
610,0.9999862711086688,0.9844065955947972
620,0.9919591264492956,0.9759911034763218
630,0.9993191065245212,0.9879346163280855
640,0.9948030826140392,0.9720946268937822
650,0.9965098771017665,0.972355956576185
660,1.0013266967098202,0.9800421113405189
670,0.9921956192927405,0.9827147703476191
680,0.9956935449678758,0.978917608131874
690,1.0034135095753236,0.9794807296651118
700,1.0060760115972407,0.9833902876735943
710,0.9940373300753577,0.9803832754236141
720,0.9978592475895577,0.9771265408137504
730,0.9983800967889421,0.9842442986137341
740,0.9977336970399381,0.9866791269302309
750,0.9952303614012968,0.9721339744387754
760,1.003510014887476,0.983409965607134
770,1.0030731431416697,0.9908763746910869
780,0.9847893383451102,0.976144295375446
790,0.9925968674994802,0.9825673853246937
800,1.0030645774892821,0.985616515073926
810,0.9875413439774788,0.9733291692461357
820,0.989383205158696,0.9790249033453566
830,1.0016618000849378,0.9884029569612907
840,0.9903955420688281,0.980015461825732
850,0.9917007459420678,0.9829010335909996
860,0.9949381892335566,0.9819983218524666
870,0.9876230618511478,0.9798441869106786
880,0.9845559475671043,0.9826898589033219
890,0.9938180044278616,0.9866873643951972
900,0.9845293490731949,0.9928007601531232
910,0.996916355527992,1.0014538726183295
920,0.9970612029127816,0.9916197187048117
930,0.9909350373496081,0.9880145122266646
940,0.9958222230472237,0.9932642594074625
950,0.985038825847519,0.9853031229591209
960,0.9882222177194372,0.9991063340707471
970,0.9779576284848276,0.9993492038993588
980,0.9786170315637784,0.9890523406355458
990,0.9937113134157826,0.9942533673688214
1000,0.9849258792823655,0.9911883014751885
1010,0.9794745072108274,0.9933274666453624
1020,0.986823189615407,0.985480757757641
1030,0.9814203035377448,0.9892201302697683
1040,0.9767264806230326,0.9849822294519919
1050,0.9699429833130034,0.9871998265186204
1060,0.9769633415739355,0.9878823489261914
1070,0.9794520360221549,0.9932250210493156
1080,0.969603444741295,0.983637607652043
1090,0.9700049105681358,0.9978934639915493
1100,0.9599114026370265,0.9960922768906775
1110,0.9581137430247407,0.9919013866133579
1120,0.9556476796253329,0.9968270649878783
1130,0.9581319615702849,1.0013629266973423
1140,0.9509909049024982,0.9958596377411084
1150,0.9603116179646193,0.9919503216023606
1160,0.9541304595063046,0.9963712428294644
1170,0.9583136645951501,1.0031680669151066
1180,0.9571238413759237,0.9904673412717186
1190,0.9499324189675619,0.9986503991629205
1200,0.9566306364055178,1.0009206158484187
1210,0.956199487457915,0.9950034807203445
1220,0.9502336058630988,1.0055142098833831
1230,0.9494829973735445,1.000564711443162
1240,0.9500148251530632,0.9947653955402287
1250,0.9581737357832577,0.9955463285340092
1260,0.952321566508545,1.0092565317669153
1270,0.9413701330585945,1.0038498261226259
1280,0.9537418801980165,1.003513406452397
1290,0.9593616584743291,1.0022400459978302
1300,0.9422177132531137,1.0075815601483675
1310,0.9504113977559984,1.012526549761361
1320,0.9496947081434085,1.0050040709822918
1330,0.9491540113420248,1.004191017777824
1340,0.9467424180102108,0.9943809043361194
1350,0.9483724766201876,1.003345367188601
1360,0.9468045031323825,1.006336787192262
1370,0.9410944156835556,1.0031720289024133
1380,0.9484900778958455,1.0035794480842375
1390,0.9435562927029967,1.0018209395480282
1400,0.9312449005181717,0.9994646499706319
1410,0.9374093971379279,1.003157344504841
1420,0.941365809541956,1.005394535308727
1430,0.9336445480650976,1.0013730704874637
1440,0.9433023353643567,1.005495742375661
1450,0.9404455008502969,1.0107697964637046
1460,0.9337962066766533,1.0093001432294417
1470,0.9374773161737638,1.0020914752674537
1480,0.9354972849602364,1.0021823566921217
1490,0.9423003682037966,1.0078301707686885
1500,0.9360701077745687,1.0126342185858332
1510,0.928995219802831,1.0084958799566888
1520,0.9337725051646247,1.0097591571275317
1530,0.9286005101765483,1.0066984679887505
1540,0.9280798769179045,1.0096702264738944
1550,0.9308694669490617,1.0048522774892277
1560,0.9268689227580568,1.0103944474318542
1570,0.9325651183210241,1.0107199496892376
1580,0.9298540992174945,1.0013293478285967
1590,0.9288417762733273,1.0066893805551884
1600,0.9318420127885264,1.0099256966800063
1610,0.9295208891261731,1.0122508708093685
1620,0.9198550402313144,1.006045863854709
1630,0.9279544170599495,1.0034435300220015
1640,0.9249450063853301,1.0186601385788125
1650,0.927902814890354,1.0165791487822025
1660,0.9204519399374093,1.0114224690581421
1670,0.9227552451272206,1.0104511076595752
1680,0.925999726870056,1.0152798971929853
1690,0.9154195689527608,1.0081178859383964
1700,0.918550483010307,1.0147177894702208
1710,0.9127530113757505,1.0148287911109608
1720,0.9160703357848332,1.010755388132303
1730,0.9188536788880731,1.0112616100038052
1740,0.917646082650603,1.0083166012473492
1750,0.9232510255166478,1.0062973071839612
1760,0.91696332482043,1.005172130303963
1770,0.9077194047586201,1.0118263487656665
1780,0.9127792509563274,0.9995785788303362
1790,0.9202943030528102,1.008117059879255
1800,0.9133997459025702,1.0114258501567486
1810,0.9126178162382591,1.0099592213256277
1820,0.915216433770253,1.0036218292552181
1830,0.9082306934352373,1.001127984988176
1840,0.9179663550840297,1.0077033679500642
1850,0.9057044489678094,1.0198613620779193
1860,0.904502033381558,1.007636780277045
1870,0.9135937184750411,1.0020004489045813
1880,0.9084633905680713,1.003408338378252
1890,0.9183199707886738,1.0027539972766006
1900,0.8976046643215155,0.997904360908829
1910,0.9049689082057926,1.0040184242324721
1920,0.9106015762698364,1.0139642152265689
1930,0.9040593750707635,0.9974986577187464
1940,0.9032750523430351,1.0063429718625254
1950,0.9136612642981572,1.007665253239788
1960,0.9023196137054498,1.0006456033777769
1970,0.9050355018695105,1.0049163547691229
1980,0.9036074322334346,1.0077683493648717
1990,0.9060738643183253,1.0027512063333524
2000,0.9024769538841643,1.0034900939946783
2010,0.9083452947181513,0.999868622265931
2020,0.9048456786534982,1.0089200820145285
2030,0.893041630100988,0.9960500558627166
2040,0.8907635129136328,0.9894177477708628
2050,0.9023262044297206,0.9938549101319416
2060,0.9044351449343876,1.0026402484057735
2070,0.8929827209188772,0.9888360782120733
2080,0.8985389818544891,0.9900356630306812
2090,0.9014955669254023,1.005268725500335
2100,0.899686129096493,1.0028054341876154
2110,0.8931493739749714,1.0000496632161155
2120,0.8926775122773084,0.9966644912873974
2130,0.8987939264098969,0.9868812875821025
2140,0.8935980477296571,0.9883191744533588
2150,0.8925507640143281,0.998038185009728
