timestamp,TopFlash_09hr,BetaCatenin_09hr
0,1.0,1.0
10,0.9868951302578264,0.9978025467123999
20,0.9864640097005911,1.0077546972754234
30,0.9896157275843558,1.0000118028453526
40,0.9880469888174696,0.9957863087265657
50,0.9852103833029268,1.0012426209223633
60,0.9871951255328139,0.9897449185652014
70,0.9907967746315666,0.9953743646188005
80,0.9934915911444536,1.000478349961218
90,0.9855103426992821,1.0056267135057555
100,0.9916080533884838,1.0070250954194309
110,0.9946444216448149,1.0034401490542675
120,0.9924039757565144,1.0047917153800088
130,0.9921648084773835,1.0110849288714732
140,0.9911402071010892,1.0091184489706717
150,0.9960639773080122,1.0121779584343773
160,0.9871223841616696,1.0077229592092167
170,0.9938406008524188,1.0094534205343986
180,1.0004942179807195,1.0029583567399407
190,0.9892777694161906,1.0008328586359274
200,0.990459722432892,1.0015837087712927
210,0.9942317707352444,1.0042312068679002
220,0.9907038600500663,1.0082765117553927
230,0.9884104953292651,1.0113079194441497
240,0.9935703159516753,1.0110695907647878
250,0.9936683976809251,1.0057081062117394
260,0.9951771870595361,1.0030180533243656
270,1.003142787139529,1.0151230079384888
280,1.0008415987678339,1.0082389958327813
290,1.0059755632512322,1.0158048548209808
300,1.0037127613571537,1.0127814324566882
310,1.005391879528801,1.0214472738670692
320,1.0099796741278095,1.0243116397111003
330,1.0199433811042136,1.0268176140746688
340,1.018175234182785,1.0258695389202461
350,1.0153196269670968,1.0338069765234754
360,1.0237237911733459,1.028459281452731
370,1.02111615940651,1.0294330953489295
380,1.0236149855530485,1.0365402212863515
390,1.030492661526385,1.0434878973752815
400,1.0324268189692836,1.0477153743738155
410,1.0364895777814964,1.0451365351923394
420,1.0374689433339697,1.0407160172927936
430,1.0468186696261181,1.0486454362712607
440,1.0479802239321425,1.055142307453956
450,1.0451830249799774,1.0499663014627754
460,1.0519773554552057,1.0509028312907458
470,1.049157784647989,1.0557107653286764
480,1.0523263510180358,1.0553080693780414
490,1.059570524521253,1.062748681525464
500,1.0585536275198089,1.0643643331560018
510,1.0683821736855226,1.0717972575978365
520,1.0677417508722509,1.0680543369952122
530,1.0751974301622016,1.0763657028582974
540,1.076356687688528,1.072620756382303
550,1.0787587121766626,1.0732565413863395
560,1.085669719312957,1.0807777537117957
570,1.0913905538849065,1.0761639750363121
580,1.0881360247937422,1.0729053530385995
590,1.0931388237910653,1.0717183931726482
600,1.1011016938837428,1.0768393949603408
610,1.1095342215718373,1.0661909846123923
620,1.1129961402094852,1.064251709164897
630,1.124317344262304,1.0557471769597797
640,1.1285520847259893,1.0498757192113406
650,1.1282250225016197,1.0476992435066157
660,1.1428335116837502,1.0448081377562262
670,1.1578917829210602,1.038497934974914
680,1.1554384714371708,1.0324603430560737
690,1.1629969881990705,1.0266898955782437
700,1.166610934655994,1.0209371770624796
710,1.1684246549695918,1.0166322344138528
720,1.1773710696591118,1.0112086965475757
730,1.1889789427726787,1.0178372403594629
740,1.1871449096278663,1.0114053155827762
750,1.1924657611599865,1.009582740576939
760,1.197775447851585,1.012619762322215
770,1.2074143894014482,1.0071584109282106
780,1.2129554233427249,1.0037944581619684
790,1.2055524898908732,1.0103999005348865
800,1.221327366638415,1.0073900636511046
810,1.2190833628070377,1.0065307307988827
820,1.2206575639841653,1.0105941783155585
830,1.234641246114719,1.00349754322052
840,1.234864156257459,1.0064879443950074
850,1.2279803657939738,1.0046586699905993
860,1.2408106200935083,1.0070924419462262
870,1.2410081510073185,1.0085258737285512
880,1.2449530065972438,1.009642330816316
890,1.2446155916029884,1.0050491748481425
900,1.254695019636788,1.0017106595328444
910,1.2541927432486801,1.000098935690048
920,1.2611265256784865,1.0066673962397559
930,1.2569521966833554,1.0070530388765648
940,1.2657978644950387,1.0079766828060512
950,1.2730908503589498,1.0119443611904062
960,1.2709855563325334,1.0080928799069169
970,1.2762075810089772,1.0089796725878144
980,1.2756438817081297,1.0066428061415404
990,1.2757448184528966,1.0073754735507994
1000,1.2870382630162909,1.0110315844345694
1010,1.2875466000320137,1.0063070514858394
1020,1.281573999479709,1.008851292875605
1030,1.2887013241032985,1.0114148145626243
1040,1.2954667410157046,1.0065023226003182
1050,1.2922562262631097,1.012091460907521
1060,1.2897838482109876,1.0097315712486339
1070,1.2976441742589144,1.0044005022769078
1080,1.2950260767271424,1.0083445132713629
1090,1.2944505963848632,1.0109229227419618
1100,1.3054447515896586,1.0045456622487345
1110,1.3032423396977175,1.0024302902652384
1120,1.308048519485602,1.006868609613943
1130,1.3145345908349961,1.0055274135671783
1140,1.3036872601012295,1.0007512344766565
1150,1.311245225538121,1.003276021330823
1160,1.3223185470735723,1.0058568743172105
1170,1.3178512191295915,0.9995147221051996
1180,1.3140510367103007,1.0059213640079805
1190,1.314480819006525,1.0013362031895023
1200,1.3114012198706102,1.0002323800115924
1210,1.3211779030712405,1.0037463712560482
1220,1.3145934800253878,1.000483667094021
1230,1.321688995762643,1.0027306441931416
1240,1.3172070885022094,1.0054917407457253
1250,1.325905726120384,1.0028875017763474
1260,1.3202063436272713,0.9995625658674403
1270,1.3175698285025823,0.9991765977130438
1280,1.3261100342168657,1.0011165648249545
1290,1.3202565160232882,1.0056966868613222
1300,1.3241941817689118,0.9930194126426122
1310,1.3158601621063357,0.9983627907810391
1320,1.3194504893136663,1.0005439201114945
1330,1.3237629916819182,1.0005103636532195
1340,1.3229440439604083,1.0025878457018125
1350,1.3353520885770371,1.003476503916004
1360,1.3350405077201501,1.0001751920175879
1370,1.3303218574807376,0.9991077441695135
1380,1.3258588786112186,1.0024405046870064
1390,1.33603766863116,0.996714991855852
1400,1.3390112306287967,1.0082052709765206
1410,1.3460449876865557,0.9997455723499387
1420,1.3444808594137192,0.9982945576309956
1430,1.3426027913323564,0.995066946454036
1440,1.3375125623454114,0.9954075090769949
1450,1.3446462360106253,0.9992846450554904
1460,1.3415180566832672,1.0000147052942043
1470,1.3384595552095608,0.9997507220609503
1480,1.3375659596032055,1.002488302066435
1490,1.3438849001606128,0.9967478581663349
1500,1.3378754366415895,0.9995037572800727
1510,1.343925991332406,0.9977362311967506
1520,1.342002709639075,0.9998234516748328
1530,1.3391513953353686,1.000831362813361
1540,1.3374620775625825,0.9983852728314835
1550,1.3376122190849902,1.0013707051746674
1560,1.3501513461178938,1.006232841419543
1570,1.3569318051904702,0.9991478149751976
1580,1.3464435212357002,0.9976413138247431
1590,1.3385054178734137,1.0020600596454
1600,1.3466501666914041,0.9997237442505291
1610,1.3442670611741052,0.9995455904734092
1620,1.34729182962445,1.0051900481709342
1630,1.3451938880124112,1.001737560609748
1640,1.358909209842723,0.9975422208129856
1650,1.3553751447128621,0.9925922544539725
1660,1.349751016765358,0.995101017982569
1670,1.3486186992291875,0.9993369988493341
1680,1.3569001851455003,0.9964912809763975
1690,1.3588497032474343,0.9968853212323117
1700,1.349290460558707,0.9932137461005071
1710,1.3567103974769956,0.9922234953724904
1720,1.3513188322129186,0.996192892843415
1730,1.366066560165836,0.9984919816698239
1740,1.3601880240126119,0.9941752407806046
1750,1.3619323400034937,1.0007580838492376
1760,1.3577334265581191,0.9975939012999184
1770,1.3550339402486804,0.9961488695940668
1780,1.3646732344236452,1.0001206656831956
1790,1.3712527192151978,1.0021212193381965
1800,1.3722677861104227,0.9973679997721088
1810,1.3669575512296444,0.9927723600146863
1820,1.3631697515741381,0.9969616451756822
1830,1.3621815998451567,0.9990440024175447
1840,1.3778803827117847,0.993870922203153
1850,1.3813063360557212,0.9907174898474143
1860,1.3830366160958931,0.9965880738146393
1870,1.372344321609223,0.9888670377655648
1880,1.375505895889404,1.001800030711924
1890,1.382860064641866,0.9965270254385512
1900,1.3765491234646632,0.9955973400773452
1910,1.376432924416476,0.9955149192793282
1920,1.3797811809178868,0.9963331182320994
1930,1.3772317692620923,0.9948131576033008
1940,1.3847945279969762,0.99624601061
1950,1.391122491476614,0.9916363900255685
1960,1.385462792171063,0.9963831686845672
1970,1.3753297057184324,0.9988312472012499
1980,1.3801251847523226,0.9986795582840076
1990,1.3886905246290533,1.003600520265904
2000,1.3804800366287244,0.9982997659841439
2010,1.3819342985996341,1.0014588074042825
2020,1.3972365970977394,0.9946289541129183
2030,1.4026906656106126,1.004308285075212
2040,1.383557404011135,0.9943415749571933
2050,1.4066536384659885,0.9957917637939375
2060,1.4113686875461164,1.0082352997635922
2070,1.4032187093543498,1.0038910357149693
2080,1.4028551576668802,0.9997896190146187
2090,1.4134672941258075,0.9941916204162604
2100,1.3991209773511473,0.9994197976938404
2110,1.4048501704274752,0.9960437522497576
2120,1.403994806193353,1.0019600078491593
2130,1.4256451187052028,1.0019853525201015
2140,1.4132620409934922,1.0006257471338005
2150,1.42067980762821,0.9926339609078463
2160,1.400666658929736,0.9912518127242076
2170,1.4100254138205188,1.002068885298439
2180,1.4251290685041942,1.004996836840373
2190,1.420188704631143,1.0032308331595534
2200,1.414187465663764,1.0062938204107148
2210,1.4301478667525767,1.0013517807424004
2220,1.4270835270487445,1.0105622879245564
2230,1.4233854945378068,1.000652264038868
2240,1.4138169596695518,0.998803803956648
2250,1.4201203990999285,1.0082457411119514
2260,1.4186158921937628,1.0027575493461869
2270,1.4075538511593506,1.0051477415682701
2280,1.4123750814723988,1.0090018942955719
2290,1.4122494622570694,1.004985250510062
2300,1.4242813809012373,1.0036884674572077
