timestamp,bcat_NL,bcat_06hr,bcat_09hr,bcat_15hr,bcat_18hr,bcat_21hr,bcat_24hr
0,0.95,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0022917247937517,1.0069505160076901,0.9978025467123999,1.0041619638038022,0.9999537212527994,1.0055210712057414,1.0024577997392174
20,0.9877645023302253,1.0157724516623847,1.0077546972754234,1.0087865747082565,1.0058341440474348,1.00366640925147,1.0060649062730953
30,0.9962147642656213,1.0039691642989423,1.0000118028453526,1.0063710847525988,0.9950550248118728,0.9972497070652138,0.9954053634195685
40,0.9878604704711659,1.0049635551672933,0.9957863087265657,1.010728680382883,0.9988261105681877,1.000350100213963,0.9996794048714754
50,0.9913133279931058,1.000092440580413,1.0012426209223633,1.0062549537940368,1.0002308967787894,0.9995486205166955,1.0015874377892253
60,0.9890303095312069,0.9954905397293858,0.9897449185652014,1.0025233742607775,1.0011810379025359,0.9993166131689684,1.0041191110226972
70,0.9932287347079352,1.0092656304030148,0.9953743646188005,0.9989583736529974,0.999634207519579,1.001066182578654,1.0076903508353878
80,0.9915592756251893,1.0150343115802574,1.000478349961218,1.008222141863085,1.0104465103921088,1.0067025244390428,1.0139634336070908
90,0.9870930793098587,1.0149588741678264,1.0056267135057555,1.0156673434384498,1.0098684259818975,1.0094038109178078,1.0170935174254574
100,0.982583067897597,1.011575530595291,1.0070250954194309,1.0141212837842501,1.0146416317782418,1.0145520380579738,1.0132044628909311
110,0.9858117372094287,1.0198460950762276,1.0034401490542675,1.0074187656033968,1.0065715136496889,1.0090421512338767,1.0115176547893248
120,0.9881604595358638,1.017797026874298,1.0047917153800088,1.0094441643774645,1.0101433970208826,1.0113993185515635,1.0150563420761352
130,0.980963651191124,1.0092478335158883,1.0110849288714732,1.0143961644673372,1.0143561639282013,1.0136591007030022,1.0145489971017174
140,0.9884426139247315,1.0131666243765647,1.0091184489706717,1.0092826737871692,1.010700309721741,1.0108478704891741,1.0154860187424173
150,0.9818518155320867,1.014523471281114,1.0121779584343773,1.0065886854766122,1.0050572748287208,1.0095108181506003,1.0121940012194437
160,0.9893485271225546,1.0050324019831642,1.0077229592092167,1.0085556538631424,1.0073262865146195,1.0042441934954256,1.0092487639953127
170,0.988264229728919,1.0128081528051815,1.0094534205343986,1.0099265153360126,1.0131489042747883,1.0079161370333534,1.0129633314627031
180,0.9859306782583405,1.0122090056202864,1.0029583567399407,1.011768884856358,1.0123323191446154,1.0124816678723922,1.0145588628387585
190,1.0043467416200103,1.0089655054390738,1.0008328586359274,1.0084025983538256,1.008875184559379,1.0118946932537487,1.0105729860786166
200,0.9978026844534447,1.0059107026638228,1.0015837087712927,1.0118684311281332,1.00465225786719,1.0083906575457198,1.0118853608111769
