timestamp,TF_NL,TF_06hr,TF_09hr,TF_15hr,TF_18hr,TF_21hr,TF_24hr,bcat_NL,bcat_06hr,bcat_09hr,bcat_15hr,bcat_18hr,bcat_21hr,bcat_24hr
0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0
10,0.9956954058174464,1.0032553902332404,0.9868951302578264,0.9974503606613423,0.9988908681684894,0.9930891598659011,0.9932540348836976,1.0022917247937517,1.0069505160076901,0.9978025467123999,1.0041619638038022,0.9999537212527994,1.0055210712057414,1.0024577997392174
20,1.010830967266649,0.997285623648154,0.9864640097005911,0.9945407225325547,0.9996652530933419,0.9889616648452776,0.9897653631530774,0.9877645023302253,1.0157724516623847,1.0077546972754234,1.0087865747082565,1.0058341440474348,1.00366640925147,1.0060649062730953
30,1.0104357023663988,0.9941444222456703,0.9896157275843558,0.9924694120394162,0.9967388982230141,0.9902157761929036,0.9874447743685691,0.9962147642656213,1.0039691642989423,1.0000118028453526,1.0063710847525988,0.9950550248118728,0.9972497070652138,0.9954053634195685
40,1.009604254061504,0.9983536793735548,0.9880469888174696,0.9974365429218432,0.99921931796191,0.9946125570917546,0.9937512365771166,0.9878604704711659,1.0049635551672933,0.9957863087265657,1.010728680382883,0.9988261105681877,1.000350100213963,0.9996794048714754
50,1.0073430693654997,0.9953675489836975,0.9852103833029268,0.9938277993108409,0.9982004219587444,0.9928374037305097,0.9899732297039346,0.9913133279931058,1.000092440580413,1.0012426209223633,1.0062549537940368,1.0002308967787894,0.9995486205166955,1.0015874377892253
60,1.0081301283186097,1.001441325033569,0.9871951255328139,0.9978960765102083,1.0001482180466246,0.9945206665024537,0.9912373774718285,0.9890303095312069,0.9954905397293858,0.9897449185652014,1.0025233742607775,1.0011810379025359,0.9993166131689684,1.0041191110226972
70,1.0042173897644766,1.0049836938487327,0.9907967746315666,0.9978985561358216,1.0002696521461683,0.9962692574103758,0.9934655986530011,0.9932287347079352,1.0092656304030148,0.9953743646188005,0.9989583736529974,0.999634207519579,1.001066182578654,1.0076903508353878
80,1.0038942952079637,1.00662579973375,0.9934915911444536,0.9946142117741791,0.9999914796946372,0.9961984323941124,0.9959868755780322,0.9915592756251893,1.0150343115802574,1.000478349961218,1.008222141863085,1.0104465103921088,1.0067025244390428,1.0139634336070908
90,1.0056417689221655,1.0041669031933758,0.9855103426992821,1.0001801800372963,1.0000134205332842,0.9997008562347565,0.9962227824528469,0.9870930793098587,1.0149588741678264,1.0056267135057555,1.0156673434384498,1.0098684259818975,1.0094038109178078,1.0170935174254574
