gene_id	eigenvalue	R2	beta1	beta2	complex	mean_expr	starvation_maintenance
ECB_00931	0.7676	-0.027	1.0711	-0.1740	N	229.4	0.4501
ECB_01698	0.8007	0.252	1.1234	-0.2196	N	616.5	0.1237
ECB_01059	0.7013	-0.492	0.6503	0.1922	N	33.6	0.4852
ECB_03190	0.5944	0.539	1.2372	-0.3190	N	14660.5	0.0180
ECB_02553	0.8210	-0.721	0.7742	0.0842	N	11.7	4.1579
ECB_00132	0.7140	0.117	0.9322	-0.0535	N	127.7	0.1642
ECB_03395	0.8060	0.203	1.1887	-0.2769	N	1504.1	0.1497
ECB_03877	0.0000	0.371	1.0699	-0.1735	N	936.9	0.0496
ECB_03012	0.7050	-0.337	0.8968	-0.0231	N	10.1	3.2917
ECB_01827	0.8158	-0.408	0.7654	0.0912	N	99.2	0.3514
ECB_02762	0.7063	0.078	0.9480	-0.0677	N	1.9	3.5357
ECB_03250	0.6842	0.313	1.0743	-0.1777	N	125.7	0.1685
ECB_01579	0.9619	-0.365	0.7481	0.1061	N	12.2	0.9484
ECB_02076	0.7323	-0.877	0.5233	0.3016	N	14.2	1.5000
ECB_03612	0.7683	-0.383	0.8826	-0.0111	N	11.1	1.0699
ECB_00058	0.7030	0.321	1.0510	-0.1575	N	662.7	0.0895
ECB_03287	0.7203	-0.061	0.6810	0.1642	N	10.9	0.4167
ECB_02120	0.7854	-0.288	0.6387	0.2007	N	20.6	0.5409
ECB_00670	0.8473	0.229	1.0705	-0.1748	N	263.3	0.1455
ECB_03458	0.8811	-0.247	0.7919	0.0674	N	72.6	0.5132
ECB_00700	0.8466	0.296	1.0673	-0.1720	N	651.4	0.0963
ECB_00953	0.9601	0.339	0.9965	-0.1105	N	205.3	0.1143
ECB_03327	0.7750	0.220	0.3322	0.4669	N	0.7	0.3462
ECB_00400	0.7214	0.146	1.2438	-0.3256	N	88.1	2.8329
ECB_03909	0.7738	0.448	1.1789	-0.2693	N	187.6	0.0877
ECB_03463	0.6293	-0.045	0.9148	-0.0399	N	51.1	0.3384
ECB_01693	0.8257	-0.189	0.7367	0.1149	N	27.8	0.3156
ECB_03817	0.6546	0.238	0.9572	-0.0767	N	203.7	0.1083
ECB_01185	0.7174	0.159	1.1103	-0.2098	N	499.8	0.2021
ECB_02184	0.6670	-0.763	0.6594	0.1819	N	4.1	2.7931
ECB_02701	0.6154	-0.787	0.7207	0.1285	N	3.0	1.3333
ECB_02038	0.7602	0.266	1.0784	-0.1823	N	7.0	23.7273
ECB_03857	0.9042	0.409	1.1898	-0.2791	N	297.4	0.1532
ECB_02922	0.8613	0.312	0.8092	0.0513	N	177.3	0.0844
ECB_02880	0.8121	0.161	1.2927	-0.3685	N	80.0	0.5184
ECB_01000	0.7120	0.002	1.1553	-0.2492	N	6.4	1.5616
ECB_04126	0.8509	0.130	1.0317	-0.1420	N	447.5	0.1412
ECB_03164	0.6218	0.259	1.1215	-0.2200	N	4152.3	0.0760
ECB_03770	0.7945	0.371	1.0343	-0.1446	N	178.8	0.0908
ECB_03961	0.6686	0.101	0.9506	-0.0722	N	176.3	0.1698
ECB_01737	0.0000	-0.102	0.9161	-0.0422	N	61.6	0.4608
ECB_04013	0.7720	0.255	1.0328	-0.1435	N	1936.9	0.0524
ECB_03224	0.6296	-0.406	0.7247	0.1231	N	2.8	1.0541
ECB_03177	0.6051	-0.403	0.5372	0.2856	N	2.1	2.5000
ECB_02149	0.5951	-0.143	1.0482	-0.1573	N	1.1	9.5000
ECB_02366	0.7711	-0.040	0.9409	-0.0643	N	63.4	0.4640
ECB_00904	0.5383	-0.276	0.9215	-0.0475	N	8.7	1.4694
ECB_02339	0.7047	-0.122	0.8673	-0.0006	N	2.3	0.5156
ECB_01733	0.4901	0.075	0.9391	-0.0631	N	184.4	0.1726
ECB_00695	0.8468	-0.038	0.9296	-0.0550	N	32.3	0.3631
ECB_02660	0.9553	-0.258	0.7316	0.1165	N	15.2	0.3652
ECB_00826	0.9325	0.338	1.6008	-0.6363	N	14.1	2.2984
ECB_02330	0.8252	-0.533	0.7419	0.1073	N	3.2	0.6500
ECB_01682	0.8367	0.437	1.1741	-0.2669	N	1350.3	0.0579
ECB_02983	0.9732	-0.309	0.9193	-0.0463	N	4.5	0.8455
ECB_03911	0.6689	0.018	1.0815	-0.1870	N	79.7	0.5955
ECB_03038	0.8795	-0.088	0.9190	-0.0466	N	208.9	0.3586
ECB_00377	0.8825	-0.019	1.0957	-0.1996	N	19.1	1.8000
ECB_00443	0.5983	-0.167	0.9152	-0.0436	N	97.6	0.3806
ECB_00715	0.6483	-0.073	1.0190	-0.1334	N	49.0	0.5503
ECB_04136	0.5950	-0.020	1.0629	-0.1713	N	50.5	0.4215
ECB_00574	0.8661	0.402	1.1912	-0.2823	N	2336.0	0.0506
ECB_03630	0.8407	-0.343	0.9605	-0.0831	N	20.6	0.8219
RF00034.1	0.9389	0.323	0.4231	0.3813	N	5.9	0.1842
ECB_02632	0.7071	-0.759	0.7254	0.1199	N	10.3	1.1923
ECB_02555	0.8081	-0.607	0.7728	0.0789	N	9.3	1.0909
ECB_03793	0.8382	-0.504	0.6872	0.1528	N	12.6	0.9521
ECB_02442	0.9036	-0.387	0.8030	0.0527	N	35.0	0.9276
ECB_02910	0.7094	0.184	1.0455	-0.1569	N	210.4	0.2138
ECB_02372	0.6941	0.392	0.8110	0.0457	N	317.9	0.0578
ECB_02424	0.7263	0.085	1.1819	-0.2747	N	129.6	0.5167
ECB_01153	0.8414	-0.369	0.8442	0.0169	N	223.4	0.3763
ECB_02773	0.9722	0.402	1.1167	-0.2185	N	19.4	0.2562
ECB_00319	0.7281	0.317	1.1500	-0.2473	N	188.4	0.1450
ECB_00164	0.7277	0.281	1.1239	-0.2248	N	365.6	0.1267
ECB_02384	0.9283	-0.309	0.8254	0.0330	N	4.1	1.5638
ECB_00900	0.6557	-0.250	0.7862	0.0663	N	10.1	0.6656
ECB_03824	0.9583	0.108	1.0606	-0.1706	N	56.4	0.2549
ECB_04143	0.8921	-0.248	1.2216	-0.3097	N	4.7	1.2647
ECB_00575	0.9003	0.301	1.1419	-0.2410	N	247.9	0.1448
ECB_00301	0.6252	-0.149	0.9103	-0.0413	N	1.3	1.7308
ECB_03201	0.7813	0.074	0.8905	-0.0243	N	150.0	0.1893
ECB_00686	0.9189	0.425	1.2682	-0.3500	N	1124.0	0.0908
