gene_id	eigenvalue	R2	beta1	beta2	complex	mean_expr	starvation_maintenance
ECB_01335	0.8483	-0.583	0.7440	0.2557	N	1.0	4.5000
ECB_01652	0.7146	-0.980	0.5332	0.4660	N	220.7	3.2073
ECB_04001	0.7498	0.282	1.3040	-0.3047	N	18.7	9.0441
ECB_03019	0.7275	-0.680	0.5608	0.4374	N	15.0	1.9853
ECB_00339	0.7785	0.096	0.9722	0.0265	N	23.3	9.0361
ECB_00399	0.7958	0.260	1.2389	-0.2401	N	109.6	5.8038
ECB_02711	0.8814	-0.331	0.6941	0.3037	N	9.4	6.2045
ECB_00569	0.0000	-0.642	0.3548	0.6418	N	4.0	1.5833
ECB_03405	0.6680	-0.868	0.4153	0.5815	N	17.5	1.8690
ECB_r00009	0.5870	-0.039	1.2589	-0.2608	N	55393.3	5.8984
ECB_02753	0.8094	-0.822	0.5933	0.4028	N	28.8	1.9881
ECB_02766	0.8508	-0.621	0.7087	0.2877	N	77.7	2.4726
ECB_02214	0.7471	-0.437	0.9570	0.0395	N	1153.6	1.7802
ECB_r00005	0.8056	-0.073	1.2314	-0.2341	N	69086.9	5.5221
ECB_01502	0.6914	0.174	0.9881	0.0080	N	4.9	5.8200
ECB_04023	0.9213	-0.839	0.6048	0.3897	N	28.8	1.9140
ECB_01061	0.4129	-0.289	0.9412	0.0545	N	44.6	2.9145
ECB_00097	0.7915	-0.482	0.7042	0.2906	N	3364.9	1.0370
ECB_04251	0.8558	-0.656	0.2827	0.7101	N	38.9	1.6033
ECB_03448	0.8797	-0.277	0.8557	0.1394	N	22.9	4.0582
ECB_01537	0.6969	-0.042	0.8872	0.1079	N	1.4	3.7500
ECB_r00002	0.7487	-0.035	1.2665	-0.2698	N	43806.4	6.1393
ECB_00134	0.8258	-0.408	0.7663	0.2282	N	19.7	2.5976
ECB_r00012	0.7041	-0.035	1.2671	-0.2705	N	44519.2	6.1493
ECB_00887	0.6509	-0.837	0.6889	0.3050	N	890.0	1.7192
ECB_r00015	0.7073	-0.029	1.2792	-0.2825	N	44644.7	5.8976
ECB_r00021	0.7694	-0.025	1.2848	-0.2882	N	44578.7	6.0905
ECB_04182	0.4862	-0.251	0.7638	0.2302	N	9.6	3.6591
ECB_r00018	0.6623	-0.000	1.3001	-0.3036	N	42663.6	5.9720
ECB_02139	0.8936	-0.564	0.6674	0.3258	N	2.6	1.7400
ECB_t00063	0.6885	-0.640	0.8277	0.1663	N	7448.3	0.7328
ECB_03137	0.8090	-0.659	0.4668	0.5250	N	458.8	1.2034
ECB_03807	0.5863	-0.857	0.6764	0.3162	N	34.2	2.8239
ECB_03436	0.9498	-0.796	0.5899	0.4020	N	5.9	4.6034
ECB_03443	0.8881	-1.045	0.5498	0.4418	N	18.9	2.3429
ECB_02971	0.9091	-0.869	0.4954	0.4958	N	14.2	2.4429
ECB_00155	0.9424	-0.580	0.7706	0.2221	N	411.8	1.5843
RF00113.6	0.7114	-0.899	0.6061	0.3855	N	315.3	1.2654
ECB_t00027	0.9132	0.080	1.2313	-0.2360	N	3384.4	0.9377
ECB_02198	0.6480	0.091	1.0322	-0.0383	N	2.7	5.1000
ECB_01407	0.6852	-0.187	0.8706	0.1221	N	7.3	4.3256
ECB_03511	0.8067	-0.642	0.7635	0.2285	N	1912.1	1.3228
ECB_04086	0.8110	-0.795	0.4037	0.5857	N	138.1	1.6761
ECB_02887	0.5396	-0.151	0.7882	0.2036	N	1.6	3.9545
ECB_01283	0.9481	0.041	0.9710	0.0220	N	79.7	12.6244
ECB_00971	0.9400	-0.537	0.4455	0.5434	N	128.6	1.5166
ECB_04191	0.8402	-0.053	1.1031	-0.1095	N	108.1	10.7740
ECB_04121	0.5772	-0.441	0.7555	0.2356	N	747.4	1.4469
ECB_03737	0.9257	-0.439	0.9365	0.0558	N	764.9	1.3334
ECB_00312	0.6249	-0.650	0.5860	0.4034	N	36.7	1.6890
ECB_01716	0.5717	-0.928	0.4190	0.5681	N	69.2	1.2183
ECB_02292	0.9114	-0.490	0.4451	0.5420	N	21.1	1.6667
ECB_01056	0.7571	-0.940	0.4600	0.5267	N	94.0	1.9957
ECB_02111	0.7238	-0.365	0.9202	0.0705	N	267.4	2.2382
ECB_02364	0.4228	-0.510	0.3422	0.6432	N	144.4	1.6520
ECB_03185	0.4780	0.188	0.9854	0.0056	N	1.3	4.8750
ECB_00298	0.9808	-0.048	1.1537	-0.1614	N	4.6	1.5978
ECB_02299	0.7783	-0.568	0.4540	0.5314	N	9.3	2.1037
ECB_02505	0.8010	-0.577	0.6054	0.3805	N	55.9	2.2589
ECB_02340	0.8625	0.108	1.2124	-0.2206	N	18.4	6.9630
ECB_03917	0.6624	-0.918	0.4872	0.4966	N	68.9	1.1366
ECB_04252	0.8131	-1.005	0.4527	0.5307	N	7.2	3.2143
ECB_02262	0.7505	-0.016	0.9670	0.0217	N	14.2	5.4868
ECB_03592	0.8943	-0.667	0.6470	0.3379	N	4.8	1.6667
ECB_02079	0.7868	-0.874	0.7013	0.2841	N	1008.7	1.3532
RF00113.3	0.7585	-0.756	0.6930	0.2922	N	472.5	1.1630
ECB_r00006	0.7512	-0.209	1.0913	-0.1016	N	95240.6	3.8889
ECB_01819	0.6365	0.044	1.2088	-0.2178	N	245.9	4.1393
ECB_03455	0.6842	-0.601	0.8107	0.1755	N	66.0	2.6746
ECB_01865	0.8591	-0.864	0.6556	0.3286	N	46.0	1.3443
ECB_03389	0.6493	-0.234	1.1388	-0.1489	N	18.7	1.3015
ECB_01352	0.9005	-0.971	0.7245	0.2603	N	146.6	1.2827
ECB_r00001	0.9654	-0.189	1.1104	-0.1211	N	65797.9	4.1419
ECB_00753	0.9787	-0.648	0.3608	0.6190	N	203.6	1.0757
ECB_00145	0.5265	-1.025	0.5520	0.4299	N	163.6	1.3955
ECB_04010	0.7488	-0.510	0.4319	0.5485	N	40.1	2.0740
ECB_03985	0.9623	-0.394	0.7426	0.2417	N	5.5	3.0750
ECB_01326	0.6777	0.577	1.9596	-0.9747	Y	2.1	1.2778
ECB_00144	0.5733	-0.852	0.4099	0.5698	N	718.8	1.0136
ECB_r00010	0.8126	-0.164	1.1352	-0.1462	N	99138.4	4.9122
ECB_01817	0.6048	-0.201	0.9499	0.0366	N	104.8	2.5010
ECB_r00011	0.5985	-0.178	1.1159	-0.1273	N	66373.7	3.9145
ECB_r00020	0.8415	-0.177	1.1223	-0.1338	N	66352.0	3.8829
RF00505.1	0.7813	-0.173	1.0704	-0.0827	N	84.4	0.7912
ECB_01899	0.8762	-1.009	0.4864	0.4933	N	62.3	1.5083
ECB_03886	0.8394	-0.306	0.9737	0.0124	N	332.1	2.3515
ECB_r00017	0.9847	-0.141	1.1625	-0.1741	N	68414.6	5.2915
ECB_r00014	0.6075	-0.141	1.1636	-0.1753	N	68498.4	5.2841
ECB_01334	0.9300	-0.455	0.3087	0.6667	N	0.3	3.0000
ECB_04260	0.9928	-0.442	1.0005	-0.0150	N	219.6	0.9596
ECB_01715	0.9621	-0.936	0.3987	0.5779	N	77.5	1.1511
ECB_01213	0.9022	-0.691	0.4944	0.4834	N	2237.7	1.0385
ECB_02718	0.5683	-0.045	0.9222	0.0619	N	1.9	3.1071
ECB_01303	0.7288	-0.516	0.7257	0.2552	N	62.6	1.5085
ECB_02653	0.6542	-0.576	0.7870	0.1946	N	203.2	5.9984
ECB_01918	0.9426	-0.719	0.4725	0.5041	N	143.7	0.9796
ECB_02937	0.6893	-0.611	0.5008	0.4761	N	1374.6	1.0951
ECB_01106	0.8640	0.289	1.5946	-0.6007	N	40.4	0.6592
ECB_00077	0.7685	-0.575	0.7963	0.1851	N	391.5	0.9902
ECB_02943	0.8246	-0.420	0.8750	0.1076	N	6.4	3.2386
ECB_01677	0.9417	-0.601	0.8616	0.1208	N	63.9	1.4557
ECB_03765	0.3786	-0.843	0.3596	0.6146	N	15.0	2.3676
ECB_04098	0.8935	-0.859	0.4720	0.5031	N	7.3	4.6818
ECB_03273	0.9445	-0.378	0.7251	0.2540	N	5.6	6.7826
ECB_01451	0.8092	-0.773	0.6113	0.3658	N	6.7	3.0000
ECB_03813	0.9459	-0.455	0.8654	0.1159	N	374.0	1.4813
ECB_03634	0.6184	-0.360	1.0081	-0.0245	N	1147.9	1.4257
ECB_00439	0.8898	-0.380	0.7415	0.2375	N	16.4	2.9552
ECB_01632	0.9402	-1.238	0.7612	0.2181	N	281.6	0.8789
ECB_04024	0.6024	-0.983	0.7072	0.2710	N	14.7	1.5352
RF00018.1	0.7562	-0.666	0.7998	0.1799	N	1087.6	1.4487
ECB_02896	0.7588	-1.072	0.5897	0.3862	N	65.1	1.2695
ECB_00613	0.8467	0.173	1.1744	-0.1885	N	22.1	3.8700
ECB_02360	0.5385	-0.374	0.9137	0.0676	N	73.5	3.0026
ECB_03122	0.8272	0.816	1.7827	-0.7862	N	0.4	4.0000
ECB_04073	0.8480	-0.128	1.0121	-0.0294	N	14.9	4.2500
ECB_02466	0.8925	-0.430	0.8074	0.1713	N	979.9	1.8982
ECB_02522	0.7907	-0.797	0.4768	0.4958	N	7.7	3.1471
ECB_00779	0.6741	-1.115	0.5343	0.4391	N	230.2	1.0539
ECB_02950	0.9292	-0.348	0.9874	-0.0057	N	262.2	1.4829
ECB_02193	0.6634	-1.032	0.4945	0.4782	N	90.6	1.0984
ECB_02876	0.7754	-0.739	0.7405	0.2366	N	60.8	1.4693
ECB_03331	0.8756	-0.252	0.9072	0.0729	N	28.1	4.8962
ECB_00814	0.9244	-0.837	0.7339	0.2422	N	62.4	1.7486
ECB_01285	0.6946	-0.620	0.7351	0.2407	N	89.4	5.1139
ECB_01211	0.5725	-0.567	0.5823	0.3902	N	61.3	1.6629
ECB_00969	0.8716	-0.806	0.4394	0.5298	N	37.1	1.3886
ECB_00968	0.8838	-0.271	0.6104	0.3622	N	3.0	4.2632
ECB_03283	0.9718	-0.861	0.6780	0.2958	N	232.3	1.1407
ECB_01753	0.9641	-0.534	0.4829	0.4862	N	3.5	4.0227
ECB_03387	0.7100	-0.431	0.9888	-0.0096	N	42.9	1.2282
ECB_02854	0.7107	0.023	1.0987	-0.1172	N	6.6	3.2500
ECB_00213	0.9830	0.105	0.9011	0.0761	N	7.0	13.5000
ECB_04135	0.8667	-0.999	0.4652	0.5025	N	14.5	1.5369
ECB_01913	0.9103	-0.669	0.4304	0.5365	N	20.6	1.2314
RF00113.7	0.7454	-0.652	0.7420	0.2315	N	953.8	0.8282
ECB_01671	0.9042	-0.479	0.9568	0.0211	N	520.4	1.1298
ECB_00300	0.8228	-0.744	0.6826	0.2893	N	148.0	1.4770
ECB_03255	0.8779	-0.699	0.7413	0.2318	N	673.5	1.3116
ECB_00961	0.7458	-0.343	0.6111	0.3587	N	8797.4	0.3284
ECB_04256	0.5054	-0.735	0.5523	0.4148	N	3.3	2.0172
ECB_04272	0.6589	-0.580	0.6132	0.3552	N	348.0	1.2440
ECB_03645	0.8832	-0.544	0.5783	0.3893	N	923.9	0.5505
ECB_01708	0.9321	-0.426	0.5895	0.3783	N	98.6	0.5540
ECB_01556	0.9974	-0.275	0.7585	0.2132	N	11.3	6.6471
ECB_01048	0.7199	-1.046	0.5004	0.4652	N	17.2	1.8099
ECB_02257	0.8868	-0.597	0.5718	0.3952	N	33.9	2.3213
ECB_00367	0.7081	-0.754	0.6052	0.3618	N	150.8	1.1291
RF00370.1	0.8156	-0.763	0.2788	0.6799	N	2.4	2.2500
ECB_03338	0.7708	-0.274	0.7719	0.1986	N	3.2	3.1250
ECB_00502	0.6790	-0.292	0.8883	0.0849	N	2.4	2.6667
ECB_01896	0.8060	-0.451	0.7098	0.2588	N	14.0	1.9191
ECB_02267	0.9615	-0.455	0.5659	0.3991	N	232.9	0.9370
ECB_02591	0.9535	-0.384	0.8963	0.0768	N	1059.8	0.7954
ECB_00628	0.9674	-0.548	0.8264	0.1447	N	141.6	1.5139
ECB_01651	0.9014	-0.841	0.7381	0.2307	N	71.3	1.7246
ECB_00781	0.6570	-0.421	0.8808	0.0916	N	530.3	0.5963
ECB_04028	0.7434	-0.049	0.9511	0.0231	N	6.3	4.0500
ECB_01172	0.8501	-1.139	0.6422	0.3240	N	18.3	1.5472
ECB_00708	0.7000	-0.300	0.9622	0.0119	N	2830.4	0.5752
ECB_02264	0.7630	-0.468	0.7713	0.1979	N	189.6	2.9771
ECB_04087	0.7905	-0.226	1.0749	-0.0980	N	56.0	2.2288
ECB_01789	0.7550	-0.462	0.7666	0.2023	N	690.9	0.5975
ECB_04159	0.7726	-0.274	1.0481	-0.0721	N	88.9	5.1314
ECB_03174	0.7368	0.012	1.0266	-0.0513	N	7.4	8.0893
ECB_00302	0.9549	-0.448	0.6046	0.3593	N	2.4	2.0714
ECB_01296	0.7877	-0.290	0.7904	0.1782	N	3.9	2.2273
ECB_04206	0.9022	-0.445	0.5598	0.4024	N	13.6	2.2674
ECB_03989	0.7746	-0.581	0.9118	0.0597	N	85.7	2.0435
ECB_01002	0.5974	-1.102	0.6038	0.3594	N	30.7	0.9412
ECB_01096	0.9121	-0.618	0.4861	0.4738	N	143.0	1.1360
ECB_00360	0.9703	0.234	1.4940	-0.5072	N	4.1	1.8837
ECB_04184	0.9192	0.273	0.9724	0.0000	N	0.6	10.5000
ECB_00137	0.6682	-0.150	0.8551	0.1139	N	2.4	3.5294
ECB_01438	0.7528	-0.799	0.8187	0.1493	N	23.2	1.7391
ECB_02689	0.7495	0.024	1.1196	-0.1434	N	26.6	2.9439
ECB_01159	0.8277	-0.257	0.8387	0.1294	N	28.6	3.5455
ECB_01420	0.5903	-0.919	0.6494	0.3132	N	17.1	1.9060
ECB_01580	0.2217	-0.879	0.6711	0.2917	N	291.3	0.7532
ECB_02901	0.7050	-0.598	0.5300	0.4287	N	173.7	0.7582
ECB_02702	0.8994	-0.740	0.7633	0.2018	N	79.4	1.6889
ECB_02997	0.5676	-0.343	0.7949	0.1711	N	8.1	4.4063
ECB_00235	0.8286	-0.491	0.7888	0.1770	N	542.2	0.9014
ECB_01695	0.7609	-0.540	0.4552	0.5009	N	109.9	0.8023
ECB_03887	0.8458	-0.359	1.0603	-0.0868	N	125.9	6.0080
ECB_02707	0.9298	-0.610	0.6336	0.3274	N	14.7	1.5400
ECB_02367	0.9184	-0.563	0.6828	0.2796	N	101.4	1.5373
ECB_01003	0.9841	-0.815	0.6880	0.2743	N	54.8	1.6052
ECB_03935	0.7402	-0.547	0.7991	0.1664	N	9.7	3.9153
ECB_02720	0.9983	-0.252	0.8271	0.1390	N	1.1	2.6667
ECB_01605	0.9182	-0.853	0.7272	0.2359	N	101.2	1.5862
ECB_01057	0.7179	-0.746	0.7625	0.2015	N	15.6	0.8262
ECB_03345	0.8177	-0.569	0.3639	0.5879	N	21.3	1.1464
ECB_01800	0.7514	-0.581	0.7587	0.2047	N	454.0	1.4727
ECB_03971	0.6239	-0.417	0.9070	0.0609	N	0.7	1.7143
ECB_02966	0.7398	-1.012	0.6282	0.3311	N	106.0	0.9627
RF00111.1	0.9551	0.260	0.9742	-0.0044	N	175.0	74.7907
ECB_01145	0.4868	0.016	0.8887	0.0782	N	14.4	5.8176
ECB_01919	0.8961	-0.351	0.8856	0.0810	N	232.0	0.8200
ECB_02634	0.7649	-0.146	0.8980	0.0687	N	2.3	3.1765
ECB_04009	0.9075	-0.450	0.8222	0.1420	N	839.1	0.5784
ECB_02521	0.9330	-1.100	0.5974	0.3596	N	63.9	1.0260
ECB_02326	0.9580	-0.435	0.9320	0.0355	N	386.6	1.4768
ECB_02588	0.8359	-0.469	0.5297	0.4250	N	40.1	21.6176
ECB_00854	0.7860	-0.828	0.6716	0.2875	N	32.3	0.9049
ECB_01319	0.8507	-0.800	0.6292	0.3284	N	45.3	1.4904
ECB_02304	0.6338	-0.338	1.0049	-0.0354	N	124.1	2.7916
ECB_00640	0.8251	-0.445	0.8402	0.1237	N	301.6	0.9491
ECB_03023	0.8602	-0.672	0.7752	0.1864	N	83.9	1.4884
ECB_02721	0.8597	-0.164	1.0036	-0.0348	N	32.3	1.8277
ECB_01339	0.6998	0.230	1.1942	-0.2193	N	23.8	5.7125
ECB_04186	0.8688	0.320	1.1386	-0.1656	N	6.9	16.3000
ECB_00876	0.6905	-0.989	0.8041	0.1574	N	28.1	0.8503
ECB_01612	0.8057	-0.488	0.8486	0.1144	N	209.4	1.2851
ECB_00567	0.7568	-0.425	0.8724	0.0914	N	45.5	2.7160
ECB_02174	0.9367	-0.816	0.7388	0.2202	N	4.4	3.0000
ECB_01818	0.8798	0.103	1.2373	-0.2617	N	156.6	5.2243
ECB_00321	0.6970	-0.203	0.9829	-0.0159	N	33.3	1.9756
ECB_02882	0.7365	-0.191	1.0100	-0.0421	N	142.6	1.0932
ECB_04063	0.9769	-0.244	1.0610	-0.0915	N	5.2	1.4196
ECB_03534	0.7240	-0.278	0.7206	0.2373	N	1.3	3.0000
ECB_03568	0.7993	-0.701	0.7175	0.2402	N	57.5	1.9740
ECB_03768	0.7353	-0.440	0.8413	0.1206	N	6.9	1.9453
ECB_00467	0.9037	-0.078	1.0959	-0.1254	N	1.3	1.7000
ECB_02049	0.9708	-0.346	0.7744	0.1849	N	7.8	2.4403
ECB_04026	0.9696	-0.680	0.7838	0.1753	N	140.1	1.2676
ECB_01581	0.9819	-0.425	0.8126	0.1473	N	720.7	0.6442
ECB_01526	0.8155	-0.458	0.6892	0.2663	N	6.7	2.6038
ECB_00018	0.9577	-0.393	0.8531	0.1078	N	108.5	0.9922
ECB_02423	0.7695	-0.217	1.0905	-0.1214	N	238.1	1.2392
ECB_03519	0.8439	-0.909	0.6385	0.3146	N	56.4	2.2023
ECB_01611	0.8190	-0.402	0.6579	0.2958	N	387.5	0.5351
ECB_01650	0.8623	-0.745	0.7348	0.2212	N	94.2	1.4258
ECB_02173	0.7351	-0.996	0.6351	0.3170	N	16.4	2.4632
ECB_04078	0.7908	-0.572	0.6089	0.3422	N	59.4	1.0570
ECB_02704	0.9894	-0.416	0.6545	0.2981	N	1.6	2.0000
ECB_01646	0.8190	-0.098	0.8317	0.1274	N	13304.0	0.2077
ECB_02412	0.6833	-0.393	0.9334	0.0291	N	264.7	0.9963
ECB_03334	0.8230	-0.406	0.7236	0.2305	N	4.3	2.7727
ECB_00184	0.9659	-0.836	0.5737	0.3749	N	38.6	1.6163
ECB_02375	0.7257	0.457	1.7048	-0.9268	Y	0.6	1.1250
ECB_04176	0.8580	-0.017	0.8763	0.0832	N	1.1	8.6250
RF00084.1	0.7845	0.236	1.0168	-0.0522	N	5594.1	0.1553
ECB_00565	0.7051	-0.287	0.8508	0.1076	N	766.1	0.4279
ECB_00557	0.7956	0.094	1.2800	-0.3056	N	51.5	2.5631
ECB_03270	0.6403	-0.488	0.9111	0.0494	N	359.3	2.0981
ECB_03175	0.6720	0.274	1.0961	-0.1287	N	3.0	21.6000
ECB_00084	0.8810	-0.241	1.0454	-0.0799	N	117.9	0.9844
ECB_00193	0.6392	-0.416	0.6026	0.3462	N	441.9	0.5884
ECB_03235	0.7453	-0.465	0.9156	0.0449	N	41.0	1.7556
ECB_00755	0.4985	-0.503	0.8420	0.1157	N	4.0	1.9714
ECB_00187	0.8061	-0.560	0.8905	0.0690	N	40.4	1.1280
ECB_01197	0.6129	-0.630	0.8354	0.1219	N	99.4	1.1156
ECB_00705	0.9133	-0.666	0.5456	0.4007	N	25.2	1.1624
ECB_01380	0.6652	-1.006	0.6345	0.3151	N	18.2	2.2957
ECB_02743	0.7899	-0.064	1.0615	-0.0958	N	119.9	5.7980
ECB_00083	0.8231	-0.522	0.6851	0.2662	N	178.8	0.8143
ECB_03272	0.9275	-0.452	0.5532	0.3928	N	10.6	1.3525
ECB_01545	0.8753	-0.629	0.8206	0.1357	N	19.6	1.9595
ECB_02731	0.8113	-0.265	1.0690	-0.1034	N	116.7	2.5554
ECB_00153	0.7937	-0.402	0.8539	0.1035	N	424.0	0.5960
ECB_03923	0.7497	-0.638	0.5807	0.3661	N	56.9	0.6399
ECB_00679	0.7304	0.265	0.9955	-0.0329	N	6.6	8.3400
ECB_02291	0.8345	-0.321	0.4163	0.5238	N	108.7	0.5143
ECB_01634	0.9368	-0.444	0.7831	0.1710	N	30.7	2.0419
ECB_02467	0.5835	-0.300	0.9530	0.0076	N	796.9	1.2338
ECB_03460	0.6059	-0.420	0.7671	0.1862	N	29.6	1.2408
ECB_03635	0.5244	-0.281	0.9791	-0.0176	N	773.0	0.8717
RF00039.2	0.7164	-0.317	0.6337	0.3141	N	5.7	1.6935
ECB_00082	0.9184	-0.567	0.7629	0.1896	N	184.4	1.2280
ECB_02067	0.6830	-0.827	0.7891	0.1643	N	8.8	4.1250
ECB_02352	0.9508	0.057	1.2762	-0.3035	N	1.6	9.0000
ECB_00872	0.7317	-0.527	0.7144	0.2358	N	57.6	2.6816
ECB_01866	0.8097	-0.793	0.7943	0.1591	N	11.9	1.2295
ECB_00963	0.6730	-0.530	0.6683	0.2799	N	26.2	2.2911
ECB_01311	0.7109	-0.083	1.1302	-0.1637	N	414.9	1.0751
ECB_01351	0.8490	-0.648	0.5854	0.3591	N	13.0	2.3870
ECB_01271	0.6993	-0.653	0.5393	0.4030	N	41.0	1.3940
ECB_00149	0.8528	-0.139	1.1111	-0.1457	N	439.1	0.6482
ECB_01394	0.9621	-0.280	0.8805	0.0751	N	1799.0	0.4341
ECB_00962	0.9869	-0.387	0.8988	0.0573	N	78.8	1.8589
ECB_03724	0.7004	-0.622	0.7930	0.1587	N	85.8	1.7337
ECB_00806	0.9049	-0.782	0.6235	0.3211	N	75.7	1.0217
ECB_02963	0.6683	-0.191	1.0500	-0.0879	N	148.7	3.1615
ECB_r00003	0.5775	-0.108	1.1780	-0.2105	N	2912.9	14.6173
ECB_02151	0.5142	-0.976	0.5109	0.4284	N	6.1	1.0932
ECB_04115	0.7728	0.024	0.9179	0.0384	N	13.0	21.5455
ECB_03310	0.8693	-0.174	1.0183	-0.0577	N	953.7	0.9314
ECB_03024	0.8556	-0.561	0.8094	0.1423	N	170.5	1.1286
ECB_02546	0.6074	-0.584	0.6260	0.3178	N	311.0	0.7940
ECB_00009	0.8674	-0.207	1.0065	-0.0466	N	66.2	1.2118
ECB_r00004	0.7392	-0.147	1.2080	-0.2397	N	5082.0	13.5873
ECB_03643	0.8321	-0.444	0.6441	0.3003	N	367.4	0.3767
ECB_02905	0.8093	-0.360	0.8993	0.0558	N	59.9	0.6641
ECB_01814	0.7258	-0.305	0.7498	0.1988	N	13.4	3.8901
ECB_00221	0.8580	-0.528	0.8268	0.1251	N	64.4	4.6603
ECB_02092	0.7183	-0.335	0.7260	0.2214	N	3.6	6.0882
ECB_03321	0.7747	-0.175	1.0877	-0.1250	N	278.0	1.2364
ECB_01126	0.8341	-0.528	0.7756	0.1737	N	201.4	1.0451
ECB_01478	0.7483	-0.226	0.8286	0.1229	N	18.3	5.6170
ECB_04231	0.7371	0.221	1.3068	-0.3348	N	18.1	5.0441
ECB_r00013	0.5904	-0.080	1.2205	-0.2523	N	2916.6	14.1575
ECB_01472	0.8026	0.184	1.0365	-0.0765	N	4.0	7.2353
ECB_00050	0.6653	-0.721	0.6036	0.3375	N	5.9	1.4531
ECB_00202	0.8788	-0.212	1.0138	-0.0548	N	176.5	1.4128
ECB_03125	0.9736	-0.494	0.5177	0.4191	N	7.2	2.1739
ECB_01215	0.5247	-0.286	0.8090	0.1405	N	2976.9	0.1923
ECB_r00016	0.8281	-0.087	1.2038	-0.2370	N	2935.1	13.6521
RF00082.1	0.8336	-0.113	0.8365	0.1138	N	0.6	3.0000
ECB_03570	0.7948	-0.698	0.6716	0.2712	N	67.0	4.6244
ECB_00349	0.9596	-0.240	0.9630	-0.0074	N	188.0	0.9815
ECB_01195	0.6935	-0.421	0.8134	0.1353	N	6.2	2.5882
ECB_02708	0.9514	-0.914	0.6809	0.2618	N	22.9	2.4352
ECB_02482	0.7085	-0.564	0.7986	0.1492	N	894.9	0.7455
ECB_03344	0.9779	-0.695	0.7505	0.1951	N	338.3	0.9912
ECB_01370	0.7191	-0.324	0.6877	0.2545	N	192.3	0.3623
ECB_04221	0.8257	-0.546	0.6469	0.2934	N	4.0	1.4348
ECB_00769	0.5839	-0.562	0.3427	0.5837	N	27.9	1.0013
ECB_01593	0.8951	-0.362	0.8149	0.1327	N	180.7	0.5821
ECB_04203	0.7785	-0.350	1.0444	-0.0863	N	4.1	1.8553
ECB_00636	0.7980	-0.345	0.8074	0.1396	N	403.4	0.6200
ECB_01670	0.6627	-0.010	1.2191	-0.2530	N	2.3	2.7353
ECB_02772	0.6610	-0.320	0.6766	0.2643	N	308.4	0.3210
ECB_00767	0.5882	-0.525	0.5555	0.3796	N	94.6	0.6199
ECB_r00022	0.9138	-0.080	1.2135	-0.2479	N	2902.8	13.9296
ECB_00373	0.8581	-0.449	0.8639	0.0854	N	51.4	1.5694
ECB_00389	0.8096	-0.215	0.6024	0.3346	N	1280.9	0.2584
ECB_03289	0.7638	-0.396	0.8364	0.1114	N	130.0	0.8342
ECB_00408	0.8567	-0.329	0.9228	0.0290	N	43.4	2.7082
ECB_02885	0.7984	-0.901	0.7785	0.1664	N	86.3	2.1728
ECB_02413	0.5059	-0.489	0.8050	0.1410	N	135.6	0.8120
ECB_04025	0.6423	-0.773	0.8431	0.1045	N	31.7	1.7262
ECB_03549	0.9784	-0.741	0.7816	0.1627	N	17.8	2.2034
ECB_02678	0.5287	-0.317	0.9913	-0.0370	N	125.3	1.0939
ECB_04183	0.7209	-0.552	0.4696	0.4594	N	4.3	1.1389
ECB_02268	0.7799	-0.564	0.7140	0.2266	N	110.3	0.6844
ECB_04008	0.8821	-0.422	0.9114	0.0386	N	182.6	0.9070
ECB_00639	0.5467	-0.823	0.7261	0.2149	N	1.3	2.1000
ECB_03262	0.8885	-0.684	0.7597	0.1829	N	6.7	1.1800
ECB_00285	0.7540	-0.436	0.6257	0.3103	N	7.1	0.7188
ECB_03355	0.7147	0.447	1.4919	-0.5141	N	0.7	7.0000
ECB_02956	0.9669	-0.758	0.7385	0.2026	N	75.5	1.9580
ECB_01142	0.8207	-0.274	0.4115	0.5137	N	1.1	2.7000
ECB_02473	0.9143	-0.071	1.1679	-0.2061	N	1125.2	0.2162
RF00057.1	0.8181	-0.635	1.0085	-0.0545	N	156.1	2.7848
ECB_02383	0.7874	-0.347	0.7203	0.2196	N	9.5	2.4706
ECB_r00019	0.8856	-0.065	1.2302	-0.2654	N	2916.7	14.8794
ECB_02525	0.9765	-0.430	0.7306	0.2097	N	73.1	0.6546
ECB_00618	0.7391	0.153	1.2939	-0.3261	N	153.8	1.2115
ECB_00170	0.8659	-0.090	0.8444	0.1014	N	2301.8	0.2352
ECB_01125	0.8118	-0.543	0.9028	0.0456	N	36.9	1.1805
ECB_01349	0.8325	-0.313	0.6543	0.2818	N	388.0	0.3164
ECB_03285	0.9102	0.887	0.9151	0.0338	N	2788.0	0.0883
ECB_01764	0.9548	-0.636	0.5293	0.4004	N	62.4	0.6128
ECB_00398	0.5795	-0.209	0.9914	-0.0391	N	59.3	0.6814
ECB_01090	0.5950	-0.080	0.8596	0.0859	N	2233.5	0.2680
ECB_00495	0.7772	-0.035	1.2204	-0.2568	N	19.8	1.6806
ECB_01300	0.7227	-0.581	0.7097	0.2283	N	166.0	0.6864
ECB_02317	0.6700	0.043	0.4591	0.4661	N	1159.9	0.1524
ECB_01714	0.5714	-1.015	0.4750	0.4510	N	33.5	0.7751
ECB_02913	0.6448	-0.415	0.6783	0.2578	N	359.0	0.3067
ECB_00967	0.6826	-0.243	0.8797	0.0665	N	154.1	0.5522
ECB_03915	0.9114	-0.351	0.9159	0.0321	N	544.6	1.3639
ECB_01886	0.6385	-0.709	0.6211	0.3116	N	7.0	1.7571
