Dataset,Species,Context,Timepoints,TotalGenes,MatchedGenes,Spearman_rho,Spearman_p,Pearson_r,R_squared,Bootstrap_CI_lower,Bootstrap_CI_upper,CI_includes_zero,Rho_after_controls,Control_method,HalfLife_source,Temporal_resolution,Notes
GSE11923,Mouse,Circadian liver expression,48,21510,5945,0.006,0.63,0.008,0.0001,-0.03,0.04,TRUE,NA,NA,Sharova et al. 2009 (mouse ESC),1h,Primary dataset; high temporal resolution
Tu2005,Yeast (S. cerevisiae),Metabolic oscillation cycle,36,4887,4887,0.018,0.31,NA,NA,NA,NA,NA,NA,NA,Wang et al. 2002 (yeast),25min,Cross-species validation
Arbeitman2002,Drosophila,Embryonic development,66,3241,3241,-0.003,0.89,NA,NA,NA,NA,NA,NA,NA,Mouse ortholog half-lives (Sharova et al. 2009),1h,Cross-species validation; longest time series
Zaas2009,Human,Influenza H3N2 infection,16,8456,8456,0.009,0.52,NA,NA,NA,NA,NA,NA,NA,Mouse ortholog half-lives (Sharova et al. 2009),~12h,Cross-species validation; human immune response
Rabani2014,Mouse,Dendritic cell LPS immune response,7,3147,85,0.130,0.015,0.191,0.036,-0.100,0.354,TRUE,-0.040,Exclude explosive eigenvalues (|lambda|>1),Sharova et al. 2009 (mouse ESC),30min,Marginal timepoints for AR(2); correlation eliminated after removing explosive genes
Amit2009,Mouse,Dendritic cell LPS immune response,9,10651,190,0.154,0.003,NA,NA,0.011,0.294,FALSE,substantially reduced,Exclude explosive eigenvalues (|lambda|>1),Sharova et al. 2009 (mouse ESC),variable,CI barely excludes zero (lower bound 0.011); 9 timepoints marginal for AR(2)
GSE221103,Human,Neuroblastoma cancer MYC-ON,14,60237,178,0.203,0.001,NA,NA,0.061,0.345,FALSE,0.045,Partial correlation controlling expression level,Mouse ortholog half-lives (Sharova et al. 2009),variable,rho drops from 0.203 to 0.045 after controlling for expression; confounded by housekeeping genes
